#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
81,Joe Wirth,TE,Grand Valley State,,6043,258,88.8,-2.1,1.7,Wirth,6043,258,,,,4.96,2.87,1.76,4.75,7.45,16,32.5,9.08
82,Brandon Fulse,TE,Auburn,23.1,6044,253,86.4,-2.3,1.1,Fulse,6044,253,,9.63,,4.88,2.9,1.74,4.52,7.31,12,28.5,8.92
83,Jacob Wark,TE,Oregon State,23.6,6031,256,85.4,-2.4,0.9,Wark,6031,256,,,,4.91,2.89,1.77,4.52,7.5,21,27.5,8.67
84,Alex Welch,TE,Miami (OH),,6030,241,84.8,-2.4,0.8,Welch,6030,241,31.75,9.63,,5.1,2.87,1.75,4.43,7.16,,28.5,8.67
85,Connor Peters,TE,Boise State,,6041,255,83.8,-2.5,0.7,Peters,6041,255,,,,5.01,2.85,1.78,4.55,7.54,25,29,8.5
86,Corey Simmons,TE,Northwestern State,,6040,258,83,-2.5,0.5,Simmons,6040,258,33.25,8.63,80,4.94,2.83,1.74,4.62,7.55,17,26,9.17
87,Jordon Jenkins,TE,Texas A&M-Commerce,22.6,6031,245,81.5,-2.6,0.4,Jenkins,6031,245,,,,4.93,2.81,1.77,4.65,7.67,11,31.5,9.25
88,Jefferson Court,TE,Utah State,,6024,238,80,-2.8,0.3,Court,6024,238,,,,5.11,2.91,1.79,4.65,7.57,20,31,9
89,Bo Revell,TE,William & Mary,23.9,6065,281,79.9,-2.8,0.3,Revell,6065,281,,,,5.22,3.02,1.78,4.68,7.6,25,24.5,8.33
90,Katrae Ford,TE,UTEP,23.2,6044,248,79.3,-2.8,0.2,Ford,6044,248,,,,5.01,2.92,1.81,4.65,7.63,23,27.5,9
91,Katrae Ford,TE,UTEP,23.2,6044,248,79.3,-2.8,0.2,Ford,6044,248,,,,5.01,2.92,1.81,4.65,7.63,23,27.5,9
92,J.D. Krill,TE,Wyoming,,6046,232,79.1,-2.8,0.2,Krill,6046,232,,,,5.05,2.92,1.76,4.6,7.58,,29.5,9
93,Katrae Ford,TE,UTEP,,6044,248,78.9,-2.8,0.2,Ford,6044,248,,,,5.04,2.92,1.81,4.65,7.63,23,27.5,9
94,Ray Hamilton,TE,Iowa,22.9,6040,262,78.9,-2.8,0.2,Hamilton,6040,262,32.38,9.75,,5.06,2.85,1.76,4.7,7.56,14,30,8.42
95,Wesley Powell,TE,Tusculum,22.1,6091,260,78.2,-2.9,0.2,Powell,6091,260,35,9.63,81,4.98,2.83,1.78,4.99,7.68,12,27,9.33
96,Gary Farley,TE,American International,,6031,255,77.7,-2.9,0.2,Farley,6031,255,,9.25,,4.98,2.87,1.81,4.71,7.64,16,27.5,8.92
,Deon Butler,TE,Central Michigan,,6026,239,72.8,-3.3,0,Butler,6026,239,,10.25,,4.93,2.8,1.8,4.87,7.46,9,27,8.83
,Rory Anderson,TE,South Carolina,23,6045,244,,,,Anderson,6045,244,32.25,8.75,77.375,,,,,,,,
,Randall Telfer,TE,Southern Cal,22.3,6036,250,,,,Telfer,6036,250,33.5,9.625,80.125,,,,,,20,,
,Alex Deleon,TE,Florida Atlantic,,6023,244,,,,Deleon,6023,244,,10,,4.98,2.89,1.71,,,13,,
,Cullen Rosine,TE,Central Missouri,,6050,250,,,,Rosine,6050,250,,,,,,,,,,,
,Dan Light,TE,Fordham,22.9,6041,250,,,,Light,6041,250,,9.5,,4.8,,,,,,,
