#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
49,Andre Debose,WR,Florida,,5115,190,118,0.2,58,Debose,5115,190,32.25,8.63,,4.42,2.56,1.57,4.09,6.93,12,37.5,10.25
50,Mario Hull,WR,Rice,23,5117,203,118,0.2,58,Hull,5117,203,,,,4.58,2.63,1.59,4.33,6.97,18,40,10.33
51,Da'Ron Brown,WR,Northern Illinois,24,6001,205,117.9,0.2,57.5,Brown,6001,205,32,10.25,76.25,4.54,2.62,1.55,4.11,7.04,17,37,10
52,Neal Sterling,WR,Monmouth (NJ),,6033,238,117.8,0.2,57.4,Sterling,6033,238,33.13,9.63,79.25,4.62,2.69,1.53,4.25,7.07,19,35.5,9.67
53,Evan Spencer,WR,Ohio State,22.3,6013,208,117.1,0.1,55.1,Spencer,6013,208,31.88,10.13,,4.45,2.56,1.6,4.29,7.03,20,35,10.33
54,Lucky Whitehead,WR,Florida Atlantic,23.3,5094,179,117.1,0.1,54.8,Whitehead,5094,179,32,8.88,76.5,4.37,2.54,1.54,4.18,6.89,20,36,10.08
55,Bradley Marquez,WR,Texas Tech,22.8,5104,196,117,0.1,54.7,Marquez,5104,196,30.5,9,74.375,4.53,2.59,1.63,4.04,6.8,11,38,10.25
56,James Butler,WR,Louisiana-Lafayette,23.6,6023,212,116.9,0.1,54.3,Butler,6023,212,,,,4.5,2.72,1.6,4.39,7.09,22,36.5,10.33
57,Desmond Lawrence,WR,North Carolina A&T,20.9,5095,190,116.7,0.1,53.7,Lawrence,5095,190,,9.38,,4.35,2.5,1.51,4.15,6.93,18,34.5,9.83
58,Devante Davis,WR,UNLV,22.9,6027,220,116.6,0.1,53.3,Davis,6027,220,32.375,9.5,79.75,4.57,2.65,1.54,4.12,7.25,16,35.5,10.08
59,Ross Scheuerman,WR,Lafayette,22.6,5117,204,116.5,0.1,52.9,Scheuerman,5117,204,30,8.75,73.5,4.4,2.51,1.51,4.11,7.08,15,33,10.08
60,Joshua Stangby,WR,Ottawa,25,5095,180,116.5,0.1,52.7,Stangby,5095,180,,9,,4.5,2.58,1.52,4.34,7.05,16,40.5,10.5
61,Roston Tatum,WR,Portland State,24.1,6002,216,116.4,0.1,52.4,Tatum,6002,216,,,,4.52,2.67,1.6,4.25,7.09,18,36.5,10.08
62,Cam Worthy,WR,East Carolina,23.5,6022,211,116.3,0.1,52.3,Worthy,6022,211,33.5,10.125,78.875,4.52,,,,,12,36.5,10.42
63,DeAndrew White,WR,Alabama,23.9,5114,193,116,0,51.3,White,5114,193,31,9.125,74.5,4.4,2.59,1.53,4.18,6.97,,36,10.08
64,DiAndre Campbell,WR,Washington,,6011,210,116,0,51.2,Campbell,6011,210,32.13,8.88,,4.52,2.59,1.55,4.51,6.8,16,37.5,10.17
65,Dres Anderson,WR,Utah,23.1,6011,187,115.9,0,50.9,Anderson,6011,187,31.625,9.375,74.5,4.49,2.52,1.56,4.15,6.87,13,36.5,10.42
66,Nelson Agholor,WR,Southern Cal,22.3,6001,198,115.7,0,50.3,Agholor,6001,198,32.25,9.25,77.375,4.42,2.59,1.59,4.34,6.83,12,36.5,10.42
67,Darius Davis,WR,Henderson State,25.5,5110,226,115.5,0,49.5,Davis,5110,226,31,9.75,,4.53,2.63,1.62,4.4,7.28,17,37.5,10.42
68,Larry Pinkard,WR,Bluefield College,23.6,6001,196,115.5,0,49.5,Pinkard,6001,196,,8.88,,4.5,2.57,1.57,4.31,7.15,18,36.5,10.67
69,Denarius Appling,WR,West Georgia,23.9,5056,160,115.4,0,48.9,Appling,5056,160,29.63,8,,4.35,2.58,1.55,4.08,6.85,7,40,10.42
70,Donteea Dye,WR,Heidelberg,,5092,186,115.4,0,48.9,Dye,5092,186,,9.25,,4.41,2.52,1.56,4.22,7.02,17,36.5,10.25
71,Tony Pierson,WR,Kansas,,5096,173,115.4,0,48.9,Pierson,5096,173,,8.13,,4.41,2.55,1.53,4.35,6.89,9,37,11.17
72,Devon Wright,WR,Minnesota,24,5114,195,115.3,0,48.8,Wright,5114,195,,,,4.51,2.65,1.56,4.22,7.09,14,38.5,10.25
73,Larry Pinkard,WR,Old Dominion,,6001,196,115.3,0,48.6,Pinkard,6001,196,,,,4.51,2.57,1.57,4.31,7.15,18,36.5,10.67
74,Dorial Green-Beckham,WR,Oklahoma,22.5,6051,237,115.2,0,48.4,Green-Beckham,6051,237,32.5,9,79.75,4.49,2.66,1.6,4.36,6.89,13,33.5,10
75,Tello Luckett,WR,Harding,24.7,5116,211,115.2,0,48.3,Luckett,5116,211,31,9.25,75.875,4.37,2.47,1.5,4.4,7.28,18,35.5,10
76,Devon Stewart,WR,Virginia-Lynchburg,,6015,230,115,-0.1,47.8,Stewart,6015,230,,,,4.66,2.69,1.66,4.53,7.31,20,40.5,10.67
77,Dante Burton,WR,Kean,,6022,235,115,-0.1,47.6,Burton,6022,235,,,,4.57,2.56,1.54,4.51,6.98,,38.5,9.5
78,Adam Drake,WR,Eastern Illinois,,6016,195,114.9,-0.1,47.2,Drake,6016,195,30,10.38,,4.55,2.65,1.61,4.15,6.7,11,38,10.08
79,Spencer Kulcsar,WR,Pennsylvania,,5090,197,114.9,-0.1,47.2,Kulcsar,5090,197,,8.5,,4.66,2.56,1.58,4.1,7.06,21,39,9.83
