#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
62,Thurston Armbrister,ILB,Miami,,6016,235,114.8,-0.5,32,Armbrister,6016,235,33.5,10.63,,4.67,2.69,1.64,4.44,6.89,20,33.5,9.67
63,Chi Chi Ariguzo,ILB,Northwestern,,6012,236,114.8,-0.5,31.9,Ariguzo,6012,236,32,10.25,75,4.72,2.7,1.62,4.48,7.24,21,36,9.92
64,Ryan Coleman,OLB,Memphis,23.9,6014,239,113.8,-0.5,31.3,Coleman,6014,239,,,,4.62,2.68,1.7,4.38,7.22,20,35,9.67
65,Kendall Moore,ILB,Notre Dame,,6011,237,114.4,-0.5,30.9,Moore,6011,237,32.13,9.5,77.125,4.63,2.65,1.61,4.57,6.93,24,32.5,9.58
66,Justin March,ILB,Akron,22.2,5111,227,114.4,-0.5,30.9,March,5111,227,32.75,9.75,,4.68,2.63,1.6,4.44,7.31,17,36,10.17
67,Carlton Littlejohn,ILB,North Dakota State,23.1,6010,219,114.4,-0.5,30.9,Littlejohn,6010,219,30.75,9.5,,4.67,2.69,1.69,4.43,7.08,21,36,10.17
68,Neville Hewitt,ILB,Marshall,,6013,231,114.4,-0.5,30.8,Hewitt,6013,231,31.63,9,,4.64,2.68,1.65,4.65,7.14,,37,9.92
69,Aaron Roane,ILB,Richmond,,6010,233,114.3,-0.5,30.5,Roane,6010,233,32.25,9.75,,4.71,2.64,1.63,4.32,7.17,22,32.5,9.92
70,Dinnus Harding,ILB,Southern Illinois,23.5,5113,229,114.2,-0.5,30.4,Harding,5113,229,,,,4.73,2.69,1.54,4.31,7.08,13,33,10
71,Donnie Baggs,ILB,Texas A&M,22.9,6011,236,114.2,-0.5,30.2,Baggs,6011,236,,,,4.58,2.66,1.6,4.6,7.28,22,35,9.75
72,Rush Seaver,ILB,Angelo State,21.8,6014,242,113.6,-0.6,28.6,Seaver,6014,242,,,,4.87,2.8,1.69,4.56,7,29,37,9.67
73,Alex Singleton,ILB,Montana State,21.9,6022,233,113,-0.6,26.9,Singleton,6022,233,,9.25,,4.63,2.68,1.64,4.25,7.13,15,31,10
74,Justin Oxendine,OLB,Citadel,23.1,6017,242,111.7,-0.6,26.3,Oxendine,6017,242,33.38,9.88,,4.77,2.77,1.65,4.38,7.51,19,34,10.33
75,Alex Glover,ILB,South Carolina State,,5114,240,112.5,-0.7,25.6,Glover,5114,240,31.63,9.25,,4.64,,,,,24,29,9.5
76,James Vaughters,ILB,Stanford,22.2,6017,248,112.5,-0.7,25.4,Vaughters,6017,248,32.13,9.25,78.5,4.85,2.84,1.66,4.47,7.09,35,32.5,9.33
77,Jeff Luc,ILB,Cincinnati,23.6,6001,251,112.4,-0.7,25.4,Luc,6001,251,31.5,10,76.75,4.58,2.66,1.56,4.56,7.3,,34,8.83
78,Jason Taylor,OLB,Catawba,22.2,6016,230,111.3,-0.7,25.2,Taylor,6016,230,,9.5,,4.72,2.7,1.63,4.33,6.98,25,32,9.25
79,Gary Wilkins,ILB,Furman,23.7,6014,240,112.3,-0.7,25,Wilkins,6014,240,31,9.88,76,4.76,2.83,1.63,4.67,7.25,24,36,10
80,John Timu,ILB,Washington,,6000,243,112.3,-0.7,25,Timu,6000,243,31.63,9.25,77,4.8,2.74,1.64,4.47,7.07,33,32,9.33
81,Matthew Bailey,OLB,Tulane,22.7,5094,210,111.1,-0.7,24.9,Bailey,5094,210,,,,4.59,2.65,1.61,4.42,7.19,19,35,9.75
82,Jonathan Truman,ILB,Kansas State,23.8,5107,221,112.2,-0.7,24.7,Truman,5107,221,29.88,9.25,,4.62,2.67,1.59,4.48,7.18,27,33,9.5
83,Tyrell Adams,OLB,West Georgia,,6016,228,110.7,-0.7,24,Adams,6016,228,,9.63,,4.59,2.63,1.54,4.38,7,8,33,9.5
84,Hayes Pullard,ILB,Southern Cal,23.5,6004,240,111.7,-0.7,23.4,Pullard,6004,240,31.25,9.625,74.25,4.61,2.72,1.56,4.39,7.07,19,31,9.17
85,D.J. Lynch,ILB,Bowling Green,23,6000,249,111.7,-0.7,23.4,Lynch,6000,249,30.38,9.38,,4.68,2.72,1.62,4.54,7.11,25,31,9.5
86,Nick Temple,ILB,Cincinnati,22,5091,218,111.4,-0.8,22.6,Temple,5091,218,,,,4.62,2.66,1.61,4.4,7.25,18,34,9.92
87,Stephan Martin,OLB,Ball State,23.1,5110,240,109.9,-0.8,22.2,Martin,5110,240,,,,4.82,2.68,1.59,4.48,7.27,17,37,9.5
88,Jordan Stanton,ILB,Wyoming,22,6000,231,111.2,-0.8,22.1,Stanton,6000,231,,,,4.72,2.64,1.61,4.4,7.47,,35,9.75
89,Ramik Wilson,ILB,Georgia,23,6016,237,110.7,-0.8,20.9,Wilson,6016,237,33,10.625,78.25,4.62,2.65,1.6,4.51,7.39,23,35,9.25
90,Junior Sylvestre,ILB,Toledo,23.8,5117,233,110.6,-0.8,20.9,Sylvestre,5117,233,32.88,9.63,,4.52,2.61,1.7,4.57,7.15,26,30.5,9.83
91,Michael Doctor,ILB,Oregon State,24.9,5111,228,110.6,-0.8,20.8,Doctor,5111,228,31.75,9.38,75.625,4.73,2.79,1.63,4.36,7.06,27,30.5,9.58
92,Josh Keyes,ILB,Boston College,22.7,6020,230,110.6,-0.8,20.7,Keyes,6020,230,31.63,9.38,75.25,4.66,2.66,1.6,4.34,7.01,22,29,9.58
93,Jon Shelby,OLB,Akron,24.1,6010,214,109.2,-0.8,20.6,Shelby,6010,214,,,,4.6,2.62,1.6,4.52,7.34,26,31.5,10
94,Zaire Anderson,ILB,Nebraska,23.1,5106,228,110.3,-0.8,20,Anderson,5106,228,30.25,9.25,72.875,4.81,2.77,1.57,4.45,7.15,18,34.5,9.83
95,Cyrus Coen,ILB,Washington State,,5107,217,109.7,-0.9,18.8,Coen,5107,217,,,,4.64,2.75,1.63,4.32,7.24,28,33.5,9.08
96,Nick Dzubnar,ILB,Cal Poly,24.4,6010,241,109.7,-0.9,18.7,Dzubnar,6010,241,31.5,8.25,,4.67,2.93,1.74,4.46,7.22,29,34,9.25
97,Javarie Johnson,ILB,New Mexico,24.4,6031,245,109.6,-0.9,18.5,Johnson,6031,245,,,,4.78,2.75,1.67,4.47,7.3,19,35,9.83
99,Brandon Pittman,ILB,North Carolina State,,6013,230,109.4,-0.9,18.1,Pittman,6013,230,,,,4.71,2.7,1.62,4.41,7.27,14,34,10
100,Justin Shirk,ILB,Bloomsburg,,6001,240,109.2,-0.9,17.7,Shirk,6001,240,30.88,9.13,71.75,4.7,2.82,1.69,4.54,7.38,30,33.5,9.58
101,Michael Orakpo,ILB,Texas State,24.6,6003,231,109.2,-0.9,17.6,Orakpo,6003,231,32.75,9.38,,4.78,2.8,1.64,4.44,7.53,29,34,9.83
102,Kevin Thomas,ILB,Wofford,23,6014,232,109.1,-0.9,17.4,Thomas,6014,232,,9.75,,4.66,2.7,1.62,4.44,7.4,18,35,9.58
103,Stanley Andre,ILB,Massachusetts,23.3,6015,240,108.7,-1,16.5,Andre,6015,240,,,,4.84,2.83,1.65,4.42,7.09,26,32.5,9.42
104,Dyshawn Davis,ILB,Syracuse,23.2,6020,227,108.4,-1,16,Davis,6020,227,31.5,9.63,78.375,4.65,2.71,1.58,4.4,7.31,19,32,9.58
105,Michael Reynolds,ILB,Kansas,,6014,239,108.2,-1,15.5,Reynolds,6014,239,32.25,9.63,,4.62,2.62,1.63,4.4,7.18,15,31,9.58
106,Amarlo Herrera,ILB,Georgia,24,6005,244,107.7,-1.1,14.5,Herrera,6005,244,32.75,9.625,78.375,4.75,2.76,1.67,4.27,7.35,23,32,9.25
107,Paul Dawson,ILB,TCU,22.7,6001,230,107.1,-1.1,13.4,Dawson,6001,230,31.5,9.5,76,4.75,2.8,1.6,4.49,6.76,21,30,9.33
108,Ron Omara,ILB,St. Francis Xavier,,6015,240,107,-1.1,13.3,Omara,6015,240,,,,4.78,2.61,1.65,4.32,7.56,22,33.5,9.58
109,Ronnie Hamlin,ILB,Eastern Washington,25.4,6014,229,107,-1.1,13.3,Hamlin,6014,229,30,9.5,,4.71,2.73,1.63,4.46,7.06,11,33,9.92
110,Maurice Falls,ILB,East Carolina,23.8,6016,233,107,-1.1,13.3,Falls,6016,233,32.63,9.38,,4.61,2.69,1.65,4.41,7.5,18,31.5,9.92
111,Blake Renaud,ILB,Boise State,,6014,246,106.9,-1.1,13.2,Renaud,6014,246,31.63,8.63,,4.9,2.8,1.7,4.18,7.1,20,33,9.25
112,Justin Williams,OLB,Valdosta State,,5111,210,104.8,-1.1,12.9,Williams,5111,210,,,,4.7,2.68,1.68,4.43,7.43,19,36,9.92
113,Rodman Noel,ILB,North Carolina State,,6031,222,106.7,-1.1,12.8,Noel,6031,222,,8.63,,4.67,2.68,1.59,4.43,7.32,16,33,9.75
114,Tyrelle Johnson,OLB,Eastern Kentucky,23.9,5114,224,104.7,-1.1,12.7,Johnson,5114,224,,9.25,,4.69,2.76,1.63,4.34,7.09,20,28.5,9.58
115,Daunte Carr,ILB,Arkansas,24,6016,224,106.4,-1.2,12.2,Carr,6016,224,,,,4.73,2.8,1.68,4.68,7.23,22,36,9.92
116,Mike Zeuli,ILB,Princeton,23,6017,234,106.3,-1.2,12.1,Zeuli,6017,234,30.75,9.25,73.5,4.79,2.79,1.71,4.38,7.03,18,33,9.67
117,Jonathan Spain,ILB,Elon,24.1,6010,234,106.3,-1.2,12,Spain,6010,234,,,,4.77,2.68,1.65,4.5,7.18,,34,9.33
118,Joe Gilliam,ILB,Purdue,23.5,6005,225,105.2,-1.3,10.3,Gilliam,6005,225,,,,4.64,2.71,1.6,,,15,30,9.33
119,Taiwan Jones,ILB,Michigan State,21.9,6025,245,105,-1.3,10.1,Jones,6025,245,34,10,81.5,4.89,2.79,1.7,4.33,7.25,19,33.5,9.58
120,Charles Harris,ILB,Memphis,22.9,6016,239,104.9,-1.3,9.9,Harris,6016,239,,,,4.85,2.8,1.68,4.37,7.34,21,34,9.5
121,Jens Jeters,ILB,Texas-San Antonio,22.1,6002,237,104.6,-1.3,9.4,Jeters,6002,237,,,,4.6,2.69,1.6,4.65,7.42,23,30.5,9.58
122,Anthony Gonzalez,ILB,Pittsburgh,24.2,6015,233,104.5,-1.3,9.4,Gonzalez,6015,233,,9,,4.81,2.71,1.68,4.28,7.16,14,32.5,9.67
123,Markus Pierce-Brewster,LB,West Texas A&M,24,6041,238,102.8,-1.4,8.8,Pierce-Brewster,6041,238,,9,,4.68,2.71,1.54,4.52,7.67,16,29.5,10
124,Quinton Alston,ILB,Iowa,22,6006,237,104,-1.4,8.6,Alston,6006,237,30.75,9.38,,4.77,2.67,1.74,,,18,34,9.5
125,Tyler Watkins,ILB,Coastal Carolina,23.1,6022,222,103.9,-1.4,8.5,Watkins,6022,222,,,,4.73,2.74,1.68,4.46,7.27,29,32,9.33
126,D.J. Welter,ILB,LSU,24,6000,232,103.7,-1.4,8.3,Welter,6000,232,30.25,8.13,75.375,4.7,2.69,1.59,4.46,7.35,19,33.5,9
127,David Cooper,ILB,Indiana,23.9,6000,224,103.6,-1.4,8.1,Cooper,6000,224,,,,4.87,2.9,1.65,4.41,7.16,22,31,9.92
128,Terrance Plummer,ILB,Central Florida,,5113,231,103.4,-1.4,7.9,Plummer,5113,231,31.5,10.25,78,4.88,2.79,1.64,4.41,7.16,22,33.5,9.25
129,Michael Easton,OLB,Central Florida,,5100,214,100.5,-1.4,7.4,Easton,5100,214,,,,4.77,2.75,1.66,4.62,7.19,26,33.5,9.42
130,Lamonte Edwards,OLB,Southern Illinois,24,6006,204,100.2,-1.5,7.1,Edwards,6006,204,,,,4.68,2.68,1.66,4.4,7.13,16,32,9.58
131,C.J. Mizell,ILB,Akron,24.5,6014,234,102.3,-1.5,6.6,Mizell,6014,234,,,,4.72,2.76,1.65,4.63,7.26,22,31,9.67
132,Karl Mickelsen,ILB,Fresno State,23,5116,234,102.1,-1.5,6.4,Mickelsen,5116,234,31.75,9.75,,4.7,2.72,1.65,4.4,7.2,21,30.5,9
133,Derrick Malone,ILB,Oregon,,6013,230,101.9,-1.5,6.3,Malone,6013,230,33,9.13,,4.71,2.75,1.7,4.39,7.09,25,29.5,9.08
