#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
97,Rodney Mills,FB,Massachusetts,,6002,220,94.6,-1.1,13,Mills,6002,220,,,,4.64,2.74,1.69,4.67,7.13,14,32,9.58
98,Jeremy Gaskins,RB,Florida Atlantic,,5104,196,107.2,-1.1,12.8,Gaskins,5104,196,,,,4.64,2.67,1.57,4.28,7.19,16,32.5,9.75
99,Tyler Hunt,RB,Missouri,,5103,212,107.1,-1.1,12.7,Hunt,5103,212,,,,4.63,2.73,1.6,4.49,,,34,10
100,Alex Collins,RB,Arkansas,22,5100,217,107,-1.2,12.5,Collins,5100,217,30.25,9.25,72.375,4.59,2.7,1.62,,,18,32.5,9.42
101,Dominic Salomone,FB,Penn State,,5097,239,93.9,-1.2,12,Salomone,5097,239,,,,4.85,2.8,1.68,4.53,7.41,36,30.5,9
102,Antoinne Jimmerson,RB,North Texas,,5090,218,106.6,-1.2,11.8,Jimmerson,5090,218,,,,4.59,2.71,1.51,4.58,7.25,16,31.5,9.5
103,Christian Powell,RB,Colorado,,5112,229,106.5,-1.2,11.7,Powell,5112,229,,,,4.68,2.7,1.67,4.38,7.21,15,34.5,9.67
104,Tim Brown,FB,West Chester,,6020,231,93.3,-1.2,11.1,Brown,6020,231,,,,4.7,2.73,1.65,4.59,7.56,27,30,9.33
105,Rodrick Williams Jr.,RB,Minnesota,,5091,224,105.9,-1.2,10.8,Williams Jr.,5091,224,,,,4.7,2.71,1.62,4.41,7.21,14,35,9.33
106,Terrance Timmons,RB,South Alabama,,5072,184,105.7,-1.3,10.5,Timmons,5072,184,,,,4.49,2.62,1.59,4.35,7.13,20,32.5,9.83
107,Pereese Joas,RB,Hawaii,,5051,173,105.5,-1.3,10.2,Joas,5051,173,,,,4.64,2.61,1.6,4.16,6.9,13,33.5,9.75
108,Jaylen Walton,RB,Mississippi,,5080,176,105.4,-1.3,10.1,Walton,5080,176,,,,4.52,2.62,1.56,4.3,7.05,12,34.5,9.5
109,Remound Wright,RB,Stanford,,5077,202,105.3,-1.3,9.9,Wright,5077,202,,,,4.71,2.67,1.57,4.37,7.39,20,34.5,9.5
110,Raphael Spencer,RB,Missouri Western,,5100,199,105.3,-1.3,9.8,Spencer,5100,199,,,,4.72,2.76,1.68,4.4,7.23,26,36.5,9.92
111,Grant Widmer,FB,Azusa Pacific,,6025,225,92.1,-1.3,9.5,Widmer,6025,225,,,,4.94,2.85,1.71,4.53,7.09,22,30.5,9.5
112,Jalen Simmons,RB,South Carolina State,,5075,207,104.9,-1.3,9.4,Simmons,5075,207,,,,4.58,2.68,1.55,4.46,7.43,23,32,9.58
113,Collin Alford,RB,Miami,,5064,210,104.9,-1.3,9.3,Alford,5064,210,,,,4.71,2.73,1.59,4.41,7.03,20,34,9.08
114,Torrey Pierce,RB,Louisiana-Lafayette,,5084,177,104.9,-1.3,9.3,Pierce,5084,177,,,,4.63,2.59,1.53,4.28,6.87,8,34,9.25
115,Garrett Steele,FB,Sacramento State,,5115,227,91.9,-1.3,9.3,Steele,5115,227,,,,4.86,2.82,1.67,4.44,7.35,22,30.5,9.08
116,D.J. Morgan,RB,Azusa Pacific,,5104,180,104.9,-1.3,9.3,Morgan,5104,180,,,,4.55,2.7,1.61,4.47,7.33,,38,9.83
117,Seth Fisher,FB,Richmond,,6006,231,91.6,-1.3,9,Fisher,6006,231,,,,4.83,2.78,1.69,4.34,7.39,28,28.5,9.08
118,Paul James,RB,Rutgers,,5115,206,104.6,-1.3,8.9,James,5115,206,,,,4.73,2.67,1.6,4.46,7.15,4,34.5,9.92
119,Imani Cross,FB,Nebraska,,5114,233,91.4,-1.4,8.7,Cross,5114,233,,,,4.93,2.74,1.75,4.38,7.46,24,30.5,9.67
120,Jared Baker,RB,Arizona,,5075,192,104.4,-1.4,8.7,Baker,5075,192,,,,4.49,2.58,1.59,4.25,7.21,17,32.5,9.42
121,Luke Turner,FB,Rice,,6002,233,91.4,-1.4,8.7,Turner,6002,233,,,,4.79,2.77,1.67,4.5,7.34,24,29.5,9
122,Brandon Brown-Dukes,RB,Mercyhurst,,5075,200,104.2,-1.4,8.4,Brown-Dukes,5075,200,,,,4.68,2.57,1.58,4.29,7.19,26,32,9.25
123,Shon Carson,RB,South Carolina,,5080,199,103.5,-1.4,7.5,Carson,5080,199,,,,4.56,2.63,1.63,4.26,7.15,17,30.5,9.83
124,D.J. Abnar,RB,Liberty,,5077,177,102.9,-1.5,6.9,Abnar,5077,177,,,,4.62,2.64,1.58,,,9,33,10
125,Jeremiah Laufasa,RB,UTEP,,5097,222,102.7,-1.5,6.7,Laufasa,5097,222,,,,4.83,2.73,1.64,4.28,7.19,25,30,9.58
126,Dazmond Patterson,RB,Ohio,,5070,184,102.5,-1.5,6.5,Patterson,5070,184,,,,4.63,2.65,1.62,4.57,6.99,19,36.5,9.58
127,Darius Skinner,RB,Louisville,,5071,179,102.3,-1.5,6.3,Skinner,5071,179,,,,4.7,2.65,1.62,4.49,7.07,13,34.5,10.25
128,Donavan Williams,RB,Sam Houston State,,5113,216,102.2,-1.5,6.2,Williams,5113,216,,,,4.78,2.72,1.65,4.6,7.26,18,34,10.08
129,Ashton Broyld,FB,West Georgia,,6024,221,89,-1.5,6.2,Broyld,6024,221,,,,4.82,2.78,1.62,4.63,8.03,14,30.5,9.67
130,Dondre Lewis-Freeman,RB,South Carolina State,,5071,193,101.8,-1.6,5.9,Lewis-Freeman,5071,193,,,,4.59,2.61,1.6,4.35,7.18,17,33.5,9.33
131,Steven Walker,FB,Colorado State,,6013,231,88.2,-1.6,5.6,Walker,6013,231,,,,4.93,2.89,1.77,4.6,7.43,23,32.5,9.58
132,Rahman Lee,RB,Glenville State,,5114,174,101.3,-1.6,5.4,Lee,5114,174,,,,4.53,2.59,1.6,4.2,6.95,12,31.5,9.58
133,Darryan Ragsdale,RB,Alcorn State,,5095,187,101.1,-1.6,5.2,Ragsdale,5095,187,,,,4.59,2.77,1.69,4.32,7.12,13,34.5,10
134,Trayion Durham,FB,Kent State,,6004,259,87.4,-1.7,4.9,Durham,6004,259,,,,4.93,2.84,1.78,4.44,7.4,18,31,8.67
135,Mandel Dixon,FB,Tulsa,,6014,231,87.3,-1.7,4.8,Dixon,6014,231,,,,4.85,2.81,1.74,4.6,7.4,17,30,9.75
136,Marteze Waller,RB,Fresno State,,5106,216,100.4,-1.7,4.6,Waller,5106,216,,,,4.67,2.7,1.66,4.57,7.17,23,33.5,9.5
137,Joseph Puopolo,FB,Central Florida,,5091,227,86.8,-1.7,4.5,Puopolo,5091,227,,,,4.83,2.83,1.67,4.5,7.35,27,28,8.83
138,Kelvin Taylor,RB,Florida,22.9,5102,207,99.5,-1.8,4,Taylor,5102,207,29.25,8.25,71.125,4.6,2.63,1.59,4.56,7.23,17,32,9.42
139,Vincent Croce,FB,Virginia,,6030,253,85.4,-1.8,3.6,Croce,6030,253,,,,5.05,2.81,1.75,4.65,7.59,20,29.5,9.67
140,Mikal Abdul-Saboor,RB,William & Mary,,5096,210,98.7,-1.8,3.4,Abdul-Saboor,5096,210,,,,4.58,2.65,1.65,4.27,7.16,22,29,9.33
141,Sean Binckes,FB,LIU Post,,6034,240,85.1,-1.8,3.4,Binckes,6034,240,,,,5.08,2.88,1.72,4.52,7.37,,29,9.17
142,Kyle Payton,FB,Kent State,,6023,256,85,-1.8,3.4,Payton,6023,256,,,,5.09,2.89,1.73,4.46,7.47,26,28.5,8.75
143,Robert Lowe,RB,Texas State,,5093,204,98.6,-1.8,3.4,Lowe,5093,204,,,,4.81,2.69,1.64,4.46,7.09,15,32.5,9.67
144,Ben Sasu,RB,Urbana,,5066,201,98.5,-1.8,3.3,Sasu,5066,201,,,,4.68,2.68,1.59,4.12,6.99,17,29,8.83
145,Hosey Williams,RB,Cincinnati,,5065,196,98.2,-1.9,3.2,Williams,5065,196,,,,4.68,2.7,1.64,4.52,7.32,22,33.5,9.75
146,Alan Cross,FB,Memphis,23.3,6013,240,84.1,-1.9,2.9,Cross,6013,240,,,,4.84,2.81,1.75,4.58,7.44,17,30.5,9.08
147,Cary Littlejohn,RB,Catawba,,5110,217,97.8,-1.9,2.9,Littlejohn,5110,217,,,,4.67,2.76,1.63,4.46,7.29,20,28,9.83
148,Pokey Harris,RB,Murray State,,5085,174,97.4,-1.9,2.7,Harris,5085,174,,,,4.5,2.44,1.54,4.35,7.13,12,30.5,9.33
149,Anthon Samuel,RB,Florida International,,5105,206,97.1,-1.9,2.6,Samuel,5105,206,,,,4.67,2.66,1.57,4.53,7.29,18,30,9.42
150,Nikko Watson,FB,Western Illinois,,5111,261,83.3,-2,2.5,Watson,5111,261,,,,4.99,2.84,1.69,4.57,7.79,20,29,8.58
151,Devin Campbell,RB,Buffalo,,5114,214,96.9,-2,2.5,Campbell,5114,214,,,,4.77,2.56,1.64,4.31,7.12,22,30.5,9
152,Chris McClendon,RB,Oklahoma Panhandle,,5096,222,96.2,-2,2.2,McClendon,5096,222,,,,4.68,2.76,1.57,4.58,7.7,19,31,9.42
153,Spencer Goffigan,FB,Jacksonville State,,6020,241,81.9,-2.1,2,Goffigan,6020,241,,,,4.89,2.79,1.69,4.52,7.38,19,26.5,8.75
154,Kirk Spencer,RB,Grand Valley State,,5095,197,95.6,-2.1,1.9,Spencer,5095,197,,,,4.82,2.64,1.73,4.32,6.91,14,35,9.42
155,Jalen Richard,RB,Southern Miss,22.9,5083,207,94.9,-2.1,1.7,Richard,5083,207,,,,4.6,2.68,1.65,4.95,7.36,13,35.5,9.5
156,David Anaya,RB,New Mexico,,5094,200,94.9,-2.1,1.7,Anaya,5094,200,,,,4.7,2.73,1.52,4.47,7.22,15,30,8.83
157,Chris Nutall,RB,Texas State,,5067,201,94.7,-2.1,1.6,Nutall,5067,201,,,,4.92,2.7,1.64,4.6,7.76,17,36,10.08
158,Josh Gross,FB,Faulkner College,,6011,229,80.7,-2.1,1.6,Gross,6011,229,,,,4.94,2.86,1.68,4.59,7.02,12,26.5,8.75
159,Cody Grice,FB,Akron,,5111,266,80.5,-2.2,1.5,Grice,5111,266,,,,5.11,2.93,1.81,4.76,7.64,30,28,8.92
160,Roosevelt Davis,RB,UCLA,,5056,155,94.4,-2.2,1.5,Davis,5056,155,,,,4.6,2.67,1.6,4.25,7.07,7,33,9.58
161,DyShawn Mobley,RB,Eastern Kentucky,,5106,216,94.3,-2.2,1.5,Mobley,5106,216,,,,4.69,2.69,1.63,4.65,7.14,24,30.5,9.17
162,Gary Underwood,FB,Villanova,,5110,217,80.3,-2.2,1.5,Underwood,5110,217,,,,4.95,2.84,1.68,4.59,7.32,,27,9.08
163,Saledeem Major,FB,Temple,,6022,250,79.6,-2.2,1.3,Major,6022,250,,,,4.95,2.75,1.75,4.89,7.52,22,28,9.17
164,Rob Kelley,RB,Tulane,,5105,226,93.6,-2.2,1.3,Kelley,5105,226,,,,4.68,2.71,1.62,4.63,7.19,16,29.5,9.17
165,Geremy Alridge-Mitchell,RB,West Texas A&M,,5075,202,93.5,-2.2,1.3,Alridge-Mitchell,5075,202,,,,4.76,2.75,1.66,4.74,7.13,18,35.5,9.17
166,Jake Manley,FB,Idaho,,6011,252,79.1,-2.3,1.2,Manley,6011,252,,,,5.16,2.96,1.78,4.57,7.35,22,30,8.42
167,Lewis Washington,FB,SE Missouri State,,5095,283,78.6,-2.3,1.1,Washington,5095,283,,,,5.17,2.94,1.75,,,24,25.5,
168,Bo Brummel,FB,Jacksonville State,,6024,240,78.6,-2.3,1.1,Brummel,6024,240,,,,5.08,2.94,1.78,4.59,7.22,21,28.5,8.75
169,Zach Hogya,FB,Heidelberg,,6022,211,78.6,-2.3,1.1,Hogya,6022,211,,,,5.02,2.87,1.76,4.44,7.54,18,29,9.42
