#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
88,Darian Thompson,FS,Boise State,22.9,6017,208,104,-1.3,9.4,Thompson,6017,208,30.375,9.125,73.75,4.58,2.67,1.59,4.33,7.26,12,32.5,9.83
89,Darion Monroe,SS,Tulane,,5096,201,104.2,-1.4,8.6,Monroe,5096,201,,,,4.69,2.68,1.65,4.24,6.94,15,34.5,9.67
90,Lamarcus Brutus,SS,Florida State,23.6,5115,206,104,-1.4,8.3,Brutus,5115,206,31.5,8.75,75.625,4.7,2.68,1.59,4.29,7.02,14,33,9.5
91,Jayron Kearse,SS,Clemson,22.6,6040,216,104,-1.4,8.3,Kearse,6040,216,34.25,9.625,81.875,4.62,2.69,1.62,4.6,7.06,16,31.5,10.33
92,Marlon Moore,SS,Northern Illinois,,5093,196,103.7,-1.4,7.9,Moore,5093,196,,,,4.82,2.81,1.65,4.33,6.93,17,35.5,9.92
93,Sam Moeller,SS,Texas A&M,,5102,195,103.1,-1.5,7.2,Moeller,5102,195,,,,4.66,2.71,1.65,4.21,7.1,17,35,9.67
94,David Coley,SS,SE Missouri State,,6014,201,102.8,-1.5,6.7,Coley,6014,201,,,,4.8,2.75,1.64,4.35,7.1,14,32.5,10.42
95,Kodi Whitfield,SS,Stanford,,6014,204,102.8,-1.5,6.7,Whitfield,6014,204,,,,4.75,2.73,1.57,4.5,6.93,11,32,9.92
96,Travis Starks,FS,Indiana State,,5086,188,102,-1.5,6.5,Starks,5086,188,,,,4.8,2.67,1.55,4.39,7.23,14,35,9.75
97,Joe Colton,SS,Massachusetts,,5095,195,102.5,-1.5,6.3,Colton,5095,195,,,,4.76,2.68,1.59,4.36,7.2,15,33.5,10
98,Naim Cheeseboro,SS,Stony Brook,,6003,207,102.4,-1.5,6.3,Cheeseboro,6003,207,,,,4.67,2.76,1.68,4.4,7.25,12,34.5,10.42
99,Malik Simmons Coming off,SS,North Carolina,,5103,189,102.1,-1.6,5.9,Simmons Coming off,5103,189,,,,4.67,2.75,1.68,4.25,6.9,20,33.5,10
100,Brandon Justin,FS,Central Methodist,,6005,194,101.5,-1.6,5.8,Justin,6005,194,,,,4.62,2.69,1.57,4.66,7.38,13,35,10.33
101,Derrick Fiore,FS,California (PA),,5105,180,101.5,-1.6,5.8,Fiore,5105,180,,,,4.7,2.65,1.63,4.17,7.15,9,35,10
102,Peter Tulloch,FS,Valdosta State,,5107,210,101.4,-1.6,5.7,Tulloch,5107,210,,,,4.57,2.53,1.59,4.28,7.13,15,32,9.17
103,Antonio Johnson,SS,Minnesota,,5107,203,101.8,-1.6,5.6,Johnson,5107,203,,,,4.64,2.68,1.6,4.53,7.22,13,35.5,9.75
104,Zachary DeGrange,SS,Louisiana-Lafayette,,5094,194,101.7,-1.6,5.4,DeGrange,5094,194,,,,4.61,2.65,1.63,4.19,7.09,13,33.5,9.58
105,Alex Wells,SS,Temple,,5107,204,101.2,-1.6,5,Wells,5107,204,,,,4.75,2.73,1.65,4.31,6.93,14,32,9.92
106,Rohan Gaines,SS,Arkansas,,5105,194,101.2,-1.7,4.9,Gaines,5105,194,,,,4.6,2.67,1.59,4.48,7.24,20,32,10.08
107,Chris Pauling,FS,South Carolina State,,5092,189,100.4,-1.7,4.7,Pauling,5092,189,,,,4.54,2.62,1.58,4.41,7.47,10,35.5,9.83
108,C.J. Moore,SS,North Carolina Central,,6012,209,100.6,-1.7,4.4,Moore,6012,209,,,,4.68,2.64,1.59,4.68,7.35,11,32.5,10.5
109,Patrick Onwuasor,SS,Portland State,24,6001,213,100.4,-1.7,4.2,Onwuasor,6001,213,,,,4.62,2.63,1.69,4.6,7.51,24,36.5,10.25
110,Kweishi Brown,SS,Arizona State,,5107,207,100.4,-1.7,4.2,Brown,5107,207,,,,4.75,2.75,1.64,4.3,7,16,31,9.83
111,Tim Kilfoy,SS,Northern Iowa,,6001,211,99.6,-1.8,3.6,Kilfoy,6001,211,,,,4.7,2.7,1.66,4.49,7.13,22,32.5,9.92
112,A.J. Stamps,FS,Kentucky,,5107,193,99.2,-1.8,3.6,Stamps,5107,193,31.375,9.625,77.125,4.67,2.67,1.62,4.25,7.17,15,33,9.58
113,Vonn Bell,SS,Ohio State,21.7,5106,199,99.4,-1.8,3.4,Bell,5106,199,32.375,9.5,76.5,4.53,2.62,1.6,,,16,30.5,
114,K.J. Dillon,SS,West Virginia,23.3,6003,210,99.1,-1.8,3.2,Dillon,6003,210,31.625,9.625,76.5,4.53,2.64,1.58,4.43,7.27,11,28,10.08
115,Tyler Loffler,SS,British Columbia,,6032,219,98.7,-1.9,3,Loffler,6032,219,,,,4.78,2.75,1.72,4.15,7,,30,9.92
116,Jamal Golden,FS,Georgia Tech,,5107,197,98,-1.9,2.8,Golden,5107,197,,,,4.66,2.7,1.65,4.39,7.12,9,34,9.83
117,Kevin Pierre-Louis,SS,Colorado State,,6005,210,98.3,-1.9,2.8,Pierre-Louis,6005,210,35.5,9.25,79.25,4.8,2.8,1.68,4.72,6.93,14,35.5,10
118,Ian Simon,FS,Missouri,,5111,199,97.9,-1.9,2.7,Simon,5111,199,,,,4.65,2.69,1.59,4.65,6.95,15,32,9.75
119,Branden Dozier,FS,Charlotte,,5110,201,97.7,-1.9,2.6,Dozier,5110,201,,,,4.53,2.57,1.63,4.47,7.15,,34.5,9.25
120,Donovan Riley,SS,Virginia Tech,,5104,204,97.7,-2,2.4,Riley,5104,204,,,,4.6,2.64,1.58,4.39,7.39,19,32.5,9.25
121,Anthony Nixon,SS,Maryland,,6006,201,97.4,-2,2.2,Nixon,6006,201,,,,4.78,2.68,1.65,4.28,6.88,10,31,9.75
122,Mitch Lane,SS,Louisiana-Monroe,,6007,211,97.3,-2,2.2,Lane,6007,211,,,,4.76,2.68,1.69,4.69,6.92,17,36,9.67
123,Vincente Miles Jr.,SS,San Jose State,,6006,200,97.1,-2,2.1,Miles Jr.,6006,200,,,,4.66,2.71,1.61,4.43,7.31,14,32.5,9.75
124,Will Parks,SS,Arizona,22.1,6003,204,96.7,-2.1,1.9,Parks,6003,204,,,,4.63,2.63,1.64,4.45,7.02,21,31.5,9.42
125,Rontavious Atkins,SS,Western Michigan,,5112,205,96.7,-2.1,1.9,Atkins,5112,205,,,,4.64,2.71,1.59,4.28,7.35,14,32,9.17
126,Duke Wheeler,SS,Texas-San Antonio,,5092,203,96.5,-2.1,1.8,Wheeler,5092,203,,,,4.79,2.74,1.69,4.6,7.93,14,38,10.75
127,Anthony Williams Jr.,FS,Alcorn State,,5096,189,96.2,-2.1,1.8,Williams Jr.,5096,189,,,,4.64,2.68,1.65,4.36,7.34,16,35.5,9.58
