#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
89,Darvell Harris,CB,North Alabama,,6012,184,110.1,-0.7,24.6,Harris,6012,184,,,,4.52,2.62,1.59,4.45,7.12,,34.5,10.83
90,Paris Logan,CB,Northern Illinois,,5091,196,109.8,-0.7,23.5,Logan,5091,196,,,,4.57,2.7,1.61,4.23,6.94,9,36,9.83
91,Randall Jette,CB,Massachusetts,,5111,193,109.4,-0.8,22.4,Jette,5111,193,,,,4.65,2.65,1.58,4.41,7.18,14,37,10.17
92,Zack Sanchez,CB,Oklahoma,21.4,5107,185,109.1,-0.8,21.5,Sanchez,5107,185,31.375,9.375,73.875,4.5,2.58,1.49,4.51,7.12,19,35.5,9.67
93,Frankie Williams,CB,Purdue,23.4,5092,186,108.7,-0.8,20.5,Williams,5092,186,,,,4.51,2.58,1.6,4.27,6.91,19,33.5,10
94,John Senter,CB,Akron,,5075,169,108.7,-0.8,20.5,Senter,5075,169,,,,4.64,2.65,1.61,4.27,7.01,17,37,10.42
95,John Tidwell,CB,Sioux Falls,,5112,199,108.7,-0.8,20.4,Tidwell,5112,199,,,,4.57,2.57,1.55,4.44,7.25,,34.5,10.08
96,Jonathan Rose,CB,Nebraska,,6011,193,108.6,-0.8,20.3,Rose,6011,193,,,,4.62,2.62,1.65,4.31,6.81,5,35.5,10.42
97,Cleveland Wallace,CB,San Jose State,22.6,5106,188,108.5,-0.8,19.9,Wallace,5106,188,31.75,9.5,76,4.6,2.7,1.66,4.25,6.87,7,37,10.25
98,Marqus Baker,CB,Buffalo,,5096,180,108.5,-0.8,19.8,Baker,5096,180,,,,4.5,2.45,1.59,4.4,6.96,16,34.5,10.33
99,Vernon Harris,CB,Dartmouth,22.2,6010,197,108.4,-0.9,19.7,Harris,6010,197,,,,4.59,2.55,1.59,4.34,7.34,14,35.5,10.25
100,Cordero Dixon,CB,Weber State,,5083,179,108.3,-0.9,19.4,Dixon,5083,179,,,,4.61,2.62,1.58,4.4,7,18,37,10
101,Christian Dukes,CB,Toledo,,5080,187,108.2,-0.9,19.2,Dukes,5080,187,,,,4.64,2.64,1.59,4.38,6.98,17,35,10.17
102,Ronald Zamort,CB,Western Michigan,,5094,177,108.2,-0.9,19.2,Zamort,5094,177,,,,4.45,2.62,1.59,4.2,7.03,6,33.5,10.42
103,Tyrell Bolden,CB,Illinois Wesleyan,,5106,184,107.9,-0.9,18.4,Bolden,5106,184,,,,4.52,2.52,1.59,4.41,7.1,18,35.5,10.17
104,Chris Milton,CB,Georgia Tech,24,5103,187,107.8,-0.9,18.1,Milton,5103,187,,,,4.4,2.56,1.58,4.4,7.15,13,34,10.25
105,Micheal Lilly,CB,South Dakota,,5083,171,107.6,-0.9,17.7,Lilly,5083,171,,,,4.49,2.54,1.56,4.34,7.09,14,37,9.92
106,Deno Montgomery,CB,Eastern Kentucky,,5097,191,107.3,-1,17,Montgomery,5097,191,,,,4.71,2.7,1.68,4.32,7.17,18,37,10.67
107,Josh Atkinson,CB,Azusa Pacific,,5115,192,107.1,-1,16.3,Atkinson,5115,192,,,,4.46,2.68,1.53,4.61,7.13,16,36,9.75
