#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
104,Willie Beavers,OT,Western Michigan,22.9,6045,321,92.7,-0.9,19.1,Beavers,6045,321,33.5,9.5,80.625,5.28,3.02,1.81,4.67,7.96,20,25.5,8.58
105,Alex Fifita,OG,Fresno State,,6040,316,92,-0.9,19.1,Fifita,6040,316,,,,5.31,2.99,1.81,4.85,,25,26.5,8.42
106,Kyler Kerbyson,OG,Tennessee,,6040,305,91.9,-0.9,18.9,Kerbyson,6040,305,,,,5.33,3.05,1.9,4.79,7.77,32,27.5,8.75
107,Trip Thurman,OG,Florida,,6053,307,91.8,-0.9,18.5,Thurman,6053,307,,,,5.34,3.04,1.88,4.74,7.75,21,29,8.58
108,Ted Karras,OG,Illinois,23.5,6036,307,91.4,-0.9,17.8,Karras,6036,307,,,,5.34,3.07,1.88,4.7,8.15,32,26.5,8.83
109,Garrett Clark,OC,Southern Illinois,,6036,283,92.3,-0.9,17.5,Clark,6036,283,,,,5.48,3,1.67,4.82,7.87,21,27,8.08
110,Glenn Jackson,OG,Texas Southern,,6017,297,91.3,-0.9,17.4,Jackson,6017,297,,,,5.25,,,4.8,8,21,30,8.5
111,Parker Ehinger,OG,Cincinnati,23.7,6062,310,91.1,-1,17,Ehinger,6062,310,33,9.875,78.75,5.26,3.01,1.79,,,,27.5,8.08
112,Jordan Walsh,OG,Iowa,,6022,311,90.9,-1,16.7,Walsh,6022,311,,,,5.31,3.1,1.87,4.89,7.6,22,27,8.5
113,Nick Martin,OC,Notre Dame,23.1,6041,299,91.9,-1,16.5,Martin,6041,299,32.5,9.75,78,5.22,3.02,1.8,4.72,7.57,28,28,8.08
114,Isiah Cage,OG,Wisconsin-Eau Claire,23,6034,313,90.8,-1,16.5,Cage,6034,313,,,,5.28,2.94,1.8,5.3,8.08,26,28,8.25
115,Desmine Hilliard,OG,Baylor,,6036,336,90.4,-1,15.7,Hilliard,6036,336,,,,5.8,3.19,1.93,5.2,8.26,23,29,8.33
116,Josiah St. John,OT,Oklahoma,,6060,305,90.8,-1,15.4,St. John,6060,305,,,,5.3,3.08,1.83,4.72,8.07,17,27,8.83
117,Davante Harris,OT,Appalachian State,,6047,302,90.8,-1,15.4,Harris,6047,302,,,,5.33,2.96,1.87,4.73,7.64,22,27.5,8.67
118,Caleb Williams,OG,Rice,,6025,305,90.2,-1,15.2,Williams,6025,305,,,,5.44,3.04,1.89,5.03,8.26,29,29.5,8.58
119,Robert Blodgett,OT,Buffalo,,6056,299,90.6,-1,15.1,Blodgett,6056,299,,,,5.32,2.94,1.84,4.87,8.1,27,28.5,8.58
120,Tyler Samra,OG,Connecticut,,6023,303,90,-1,14.9,Samra,6023,303,,,,5.39,3,1.85,4.97,8.28,27,29,8.5
121,Lars Hanson,OT,Sacramento State,,6062,308,90.5,-1,14.9,Hanson,6062,308,,,,5.31,3.09,1.94,4.91,7.94,28,28.5,8.83
122,Tarik Cook,OG,Central Florida,,6014,292,90,-1,14.8,Cook,6014,292,,,,5.05,2.99,1.79,4.93,7.95,26,27,8.67
123,Jake Reed,OC,Indiana,,6034,298,91,-1,14.7,Reed,6034,298,,,,5.21,2.98,1.85,4.63,7.6,24,26,8.75
124,Isaiah Williams,OG,Akron,,6031,307,89.2,-1.1,13.4,Williams,6031,307,,,,5.21,2.97,1.82,4.83,8.03,25,26,8.5
125,Mike Sollenne,OG,LIU Post,,6063,298,89.2,-1.1,13.4,Sollenne,6063,298,,,,5.64,3.11,1.9,5.04,7.96,20,29.625,8.83
126,Nick Plavchak,OT,Ball State,,6044,296,89.5,-1.1,13.3,Plavchak,6044,296,,,,5.17,2.94,1.86,4.89,7.96,25,29.5,8.5
