#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
55,DiaVante Brown,,OLB,Liberty,,6012,259,114.5,-0.4,33.2,Brown,6012,259,31.375,8.75,75.625,4.8,2.9,1.63,4.59,7.14,31,31.5,9.92
56,Mike McCray,LB26,OLB,Michigan,24.1,6011,243,114.5,-0.4,33.2,McCray,6011,243,32.625,9.125,78.5,4.76,2.75,1.63,4.25,7.09,16,31.5,9.92
57,DeAndre Miller,,OLB,Arizona,,6026,245,114.3,-0.4,32.8,Miller,6026,245,32,9.75,78.125,4.77,2.73,1.65,4.41,7.27,25,34.5,9.83
58,Derek McCartney,,OLB,Colorado,,6024,240,114.1,-0.5,32.3,McCartney,6024,240,33.125,9.5,80,4.77,2.84,1.7,4.44,6.9,21,32.5,10.17
59,Tegray Scales,LB33,ILB,Indiana,22.3,6003,230,114.7,-0.5,31.7,Scales,6003,230,30.75,8.625,75,4.77,2.77,1.65,,,27,35,
60,Skai Moore,LB27,OLB,South Carolina,23.6,6016,226,113.7,-0.5,31.3,Moore,6016,226,32,9.375,78.375,4.73,2.74,1.66,4.34,7.22,,36,9.75
61,Jaboree Williams,,OLB,Wake Forest,,5116,235,113.7,-0.5,31.3,Williams,5116,235,31.5,8.875,75,4.67,2.7,1.64,4.33,7.18,22,33,9.67
62,KeShun Freeman,,OLB,Georgia Tech,,6021,246,113.4,-0.5,30.4,Freeman,6021,246,32.875,9.25,79.5,4.68,2.68,1.62,4.54,7.33,20,30.5,10.5
63,Davon Durant,,OLB,Marshall,,6005,240,113.4,-0.5,30.3,Durant,6005,240,30.25,9.25,73.375,4.75,2.68,1.73,4.5,7.59,33,37,10.25
64,Kevin Haynes,,ILB,Central Washington,,5114,233,114.2,-0.5,30.2,Haynes,5114,233,30.375,8.875,74.5,4.67,2.74,1.63,4.36,7.1,14,35,9.58
65,Jordan Williams,,ILB,East Carolina,,5113,227,113.8,-0.5,29.1,Williams,5113,227,32.875,9.875,78.25,4.66,2.66,1.64,4.38,7.45,23,34.5,10.08
66,Blake Nelson,,OLB,Colorado Mesa,,5097,228,112.4,-0.6,28,Nelson,5097,228,29.875,8.875,72.5,4.71,2.76,1.72,4.27,7.22,20,34,10
67,Bo Bower,,OLB,Iowa,,6015,236,111.7,-0.6,26.3,Bower,6015,236,31.375,9,75,4.72,2.74,1.67,4.33,7.15,19,34.5,9.5
68,Grant Dawson,,ILB,Wake Forest,,5114,229,112.8,-0.6,26.3,Dawson,5114,229,29.75,9.25,73.875,4.87,2.7,1.69,4.28,7.23,30,35,10
69,Junior Joseph,,ILB,Connecticut,,6003,229,112.3,-0.7,25.1,Joseph,6003,229,31.875,9.75,75.25,4.91,2.85,1.68,4.33,6.94,24,35,9.92
70,Andre Smith,LB34,ILB,North Carolina,,5115,237,112,-0.7,24.2,Smith,5115,237,33.125,10,78.875,4.63,2.65,1.57,4.35,7.5,19,32.5,9.67
71,Greer Martini,,OLB,Notre Dame,,6033,232,110.7,-0.7,24,Martini,6033,232,31.125,10.125,76.5,4.81,2.75,1.68,4.46,6.9,,33,9.92
72,Anthony Wint,,ILB,Florida International,,5110,231,111.3,-0.8,22.6,Wint,5110,231,31.625,9,77.5,4.82,2.72,1.62,4.41,7.32,17,35,10.08
73,Kevin Ward,,OLB,Iowa,,6010,229,110.1,-0.8,22.5,Ward,6010,229,30.5,9,76.625,4.82,2.76,1.78,4.35,7.07,22,35.5,9.92
74,Nick DeLuca,LB10,ILB,North Dakota State,23.6,6025,251,111,-0.8,21.8,DeLuca,6025,251,32.75,10.25,79.375,4.82,2.77,1.65,4.23,7.09,18,32.5,9.33
75,Manase Hungalu,,ILB,Oregon State,,6006,238,110.1,-0.9,19.6,Hungalu,6006,238,32.375,9.625,77.125,4.69,2.75,1.66,4.39,7.12,21,32.5,9.5
76,Keishawn Bierria,LB04,OLB,Washington,23.1,6003,230,108.3,-0.9,19,Bierria,6003,230,31.125,9.375,75,4.79,2.75,1.63,4.25,7.22,21,31,9.75
77,Joel Lanning,,OLB,Iowa State,,6013,238,108,-0.9,18.3,Lanning,6013,238,32,9.375,76.25,4.74,2.7,1.77,4.38,7.05,26,33,9.5
78,Cayson Collins,,OLB,North Carolina,,6010,232,107.7,-0.9,17.8,Collins,6010,232,32.75,10,81.5,4.79,2.67,1.75,4.28,7.38,,33,10.08
79,Jermaine Carter Jr.,,ILB,Maryland,,6005,222,109.2,-0.9,17.5,Carter Jr.,6005,222,31.125,9.5,75.125,4.68,2.73,1.68,4.28,7.19,,34.5,9.33
80,Ben Niemann,,OLB,Iowa,,6027,235,107.4,-0.9,17.2,Niemann,6027,235,32,9.375,76.625,4.75,2.75,1.7,4.43,7.01,15,33.5,9.58
81,Mac Bignell,,ILB,Montana State,,6002,232,109,-1,17.1,Bignell,6002,232,30.875,9.5,74.5,4.88,2.75,1.65,4.35,7.17,26,33.5,9.75
82,Emmanuel Beal,,OLB,Oklahoma,,6000,223,107.2,-1,16.8,Beal,6000,223,32.75,9.125,77.75,4.58,2.66,1.59,4.79,7.27,12,35,9.67
83,Chris Frey,,OLB,Michigan State,,6007,224,107.1,-1,16.6,Frey,6007,224,30,8.75,70.5,4.75,2.69,1.64,4.34,7.25,18,33,9.67
84,Jonathan Thomas,,OLB,Syracuse,,6010,206,107.1,-1,16.6,Thomas,6010,206,32,9,74,4.71,2.71,1.66,4.47,7.44,14,33.5,10.75
85,William Ossai,,OLB,San Jose State,,6013,234,106.8,-1,16.1,Ossai,6013,234,33.25,9.75,81.125,4.75,2.76,1.68,4.41,7.4,16,33,10
