#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
47,Robert Torgerson,,DT,Southern Utah,,6034,300,96.3,-1.1,14.5,Torgerson,6034,300,30.75,8.75,76,5.13,2.94,1.82,4.64,7.64,25,29.5,8.67
48,Keane Belcher,,DT,Grand Valley State,,6027,289,96,-1.1,14.1,Belcher,6027,289,31.125,9.625,74.5,5.2,2.94,1.9,4.71,7.76,25,33,9.08
49,Parker Cothren,,DT,Penn State,,6036,289,95.7,-1.1,13.5,Cothren,6036,289,32.25,9.625,77.25,5,2.88,1.75,4.72,7.89,17,28.5,9.17
50,Deadrin Senat,DL17,DT,South Florida,,6000,314,95.6,-1.1,13.4,Senat,6000,314,31.625,9.75,76.25,5.16,3.01,1.76,4.79,7.77,35,26,8.33
51,Isaiah Stephens,,DT,William & Mary,,6015,326,95.5,-1.1,13.2,Stephens,6015,326,33,9.125,81.75,5.47,3.21,1.82,5.1,8.01,26,29,8.33
52,Mike Hughes Jr.,,DT,UNLV,,6020,308,94.5,-1.2,11.7,Hughes Jr.,6020,308,30.25,9.625,76.25,5.3,3,1.8,4.61,,28,28,8.17
53,Jamiyus Pittman,,DT,Central Florida,,6014,301,94.3,-1.2,11.4,Pittman,6014,301,32.75,9.375,79.375,5.27,2.91,1.81,4.76,7.73,25,30,8.42
54,Andre Lino,,DT,Eastern Washington,,6025,275,93.9,-1.2,10.9,Lino,6025,275,32.75,9.625,79.25,5.16,2.95,1.75,4.49,7.51,20,27.5,8.83
55,Draper Riley,,DT,Southern Miss,,6036,292,93.8,-1.2,10.8,Riley,6036,292,33,9.5,80.5,5.35,3.06,1.88,4.59,7.5,19,28.5,9
56,Elijah George,,DT,Oregon,,6044,282,93.7,-1.2,10.7,George,6044,282,32.375,8.5,79,4.97,2.9,1.75,4.64,7.82,29,29,8.67
57,Tim Settle,DL18,DT,Virginia Tech,21.1,6026,329,93.6,-1.2,10.6,Settle,6026,329,33,9.125,78.75,5.22,3,1.81,4.83,7.78,,25.5,8.25
58,Chris Lee,,DT,Norfolk State,,6021,288,93.5,-1.3,10.3,Lee,6021,288,31.375,10.125,77.75,5.15,2.99,1.75,4.75,7.59,18,28,8.75
59,Nifae Lealao,,DT,Vanderbilt,,6046,324,92.7,-1.3,9.4,Lealao,6046,324,33.625,10.25,81.5,5.32,3.04,1.82,4.75,7.52,17,26,8.25
60,Josh Odigie,,DT,Central Florida,,6025,276,92.6,-1.3,9.3,Odigie,6025,276,33,9.125,79.625,5,2.82,1.72,5,8,17,29,9
61,Eddy Wilson,DL23,DT,Purdue,21.5,6026,301,92.6,-1.3,9.3,Wilson,6026,301,33.875,9.375,81.375,5.34,3.01,1.85,4.7,7.51,26,28.5,8.33
62,Arie Anderson,,DT,Idaho,,5112,312,92.5,-1.3,9.2,Anderson,5112,312,32,9.5,77.25,5.21,2.99,1.8,4.91,8.07,22,29.5,8.25
63,Frank Herron,,DT,LSU,,6033,303,92.3,-1.3,8.9,Herron,6033,303,34,9.5,81.125,5.08,2.9,1.79,4.76,8,25,27.5,8.58
64,Chris Johnson,,DT,Western Kentucky,,6003,275,92,-1.4,8.6,Johnson,6003,275,32.375,9.5,78.5,5.03,2.81,1.87,4.6,7.89,17,33.5,9
65,Nathan Bazata,,DT,Iowa,,6013,290,91.7,-1.4,8.3,Bazata,6013,290,30.125,8.875,74.875,5.31,3.04,1.86,4.63,7.77,24,32.5,8.33
66,Taylor Stallworth,DL20,DT,South Carolina,,6022,312,91.3,-1.4,7.8,Stallworth,6022,312,32.5,10.25,78.25,5.1,2.84,1.75,4.75,7.95,18,26,8.42
67,Andrew Stelter,,DT,Minnesota,,6037,287,90.4,-1.5,7,Stelter,6037,287,31.375,9.375,77.5,5.32,3.05,1.84,4.61,7.78,23,29,8.75
68,William Lee,,DT,Northern Illinois,,6002,311,90.4,-1.5,6.9,Lee,6002,311,31.75,9.375,76.25,5.3,3.02,1.83,4.92,7.84,17,27.5,8.58
69,Mychealon Thomas,,DT,Texas Tech,,6015,319,89.9,-1.5,6.4,Thomas,6015,319,33.5,10.25,78,5.25,3.05,1.9,4.62,7.73,29,25.5,8.5
70,Dee Liner,,DT,Arkansas State,,6025,334,89.9,-1.5,6.4,Liner,6025,334,33.375,9.875,81.5,5.13,2.93,1.77,4.94,8.16,23,25,8
71,Cleon Aloese,,DT,Ohio,,5116,288,89.8,-1.5,6.3,Aloese,5116,288,31.75,9.875,76.25,5.21,2.9,1.81,5,7.9,25,31.5,8.25
72,Chris Kantzavelos,,DT,Central Michigan,,6024,291,89.7,-1.5,6.3,Kantzavelos,6024,291,30.125,9.75,75.25,5.38,3.1,1.86,4.69,7.65,19,29,8.75
73,Filipo Mokofisi,,DT,Utah,,6027,283,89.6,-1.5,6.2,Mokofisi,6027,283,32.875,9,79.375,5.25,3.05,1.84,4.71,7.47,18,27.5,8.83
74,Grant Roberts,,DT,Delaware,,5103,285,89.5,-1.5,6.1,Roberts,5103,285,31.875,9.25,75.25,5.21,3.04,1.9,4.62,7.69,25,29,9
75,Greg Gilmore,,DT,LSU,,6032,305,89.3,-1.6,5.9,Gilmore,6032,305,33.875,9.375,79.125,5.14,2.87,1.8,4.81,7.65,21,29,7.92
76,Owen Obasuyi,,DT,Hampton,,6044,289,89.2,-1.6,5.9,Obasuyi,6044,289,32.125,10.75,78.875,5.17,2.99,1.77,4.67,7.83,20,25,9
77,Sky Logan,,DT,UTEP,,6010,269,88.7,-1.6,5.5,Logan,6010,269,31,9.5,75.625,4.98,2.87,1.74,4.66,7.88,19,29.5,8.75
78,Ulric Jones,,DT,South Carolina,,6055,300,88.5,-1.6,5.3,Jones,6055,300,34.5,9.875,83.625,5.13,3.04,1.82,4.88,8.16,23,28,8.5
79,Demage Bailey,,DT,East Carolina,,6036,298,88.4,-1.6,5.2,Bailey,6036,298,33.625,9.5,80.5,5.39,3.09,1.9,4.81,7.89,23,,8.83
80,Sean Wilson,,DT,Tulane,,6032,308,88.1,-1.6,5,Wilson,6032,308,31.625,9.5,76,5.37,3.1,1.84,4.84,8,26,28.5,8.08
81,Naquez Pringle,,DT,Kentucky,,6021,316,88,-1.6,5,Pringle,6021,316,32.5,10.25,80.625,5.36,3.01,1.91,4.97,8.25,24,29,8.42
82,Dion Dawson,,DT,Eastern Michigan,,5117,322,87.6,-1.7,4.6,Dawson,5117,322,32.125,9.625,77,5.26,2.96,1.79,5.06,8.12,15,27,8.08
83,Derrick Nnadi,DL13,DT,Florida State,22.3,6010,317,87.5,-1.7,4.6,Nnadi,6010,317,33.5,9.875,79.75,5.33,3.04,1.81,4.97,8.15,25,27,8
84,Jay Woods,,DT,Vanderbilt,,6020,287,87,-1.7,4.2,Woods,6020,287,31.375,10.5,78.375,5.38,3.06,1.86,4.66,7.76,27,26.5,8.83
85,Bijhon Jackson,,DT,Arkansas,,6014,330,86.8,-1.7,4.1,Jackson,6014,330,33.75,9.125,82.75,5.27,3.05,1.87,4.88,7.84,22,24,8.33
86,Larry Tharpe Jr.,,DT,Arizona,,6035,279,86.6,-1.8,4,Tharpe Jr.,6035,279,33.75,10.125,81,5.26,2.96,1.78,4.94,7.66,20,25.5,9
87,Teko Powell,,DT,UAB,,6026,306,86.4,-1.8,3.9,Powell,6026,306,32.5,9.5,77.75,5.35,3.09,1.84,4.76,7.82,17,26.5,8.42
88,Ben Hughes,,DT,Oklahoma State,,6011,345,86.4,-1.8,3.8,Hughes,6011,345,33.25,8.875,80,5.38,3.19,1.91,5.17,8.19,37,23.5,8.08
89,Merrick Jackson,,DT,Minnesota,,6010,301,86.2,-1.8,3.7,Jackson,6010,301,32.5,9,79,5.25,3.01,1.89,4.85,8.05,19,29,8.5
90,Kesni Tausinga,,DT,BYU,,6005,300,85.7,-1.8,3.5,Tausinga,6005,300,30.25,9.5,74.75,5.41,3.12,1.84,4.64,7.64,31,25.5,8.08
91,Shannon Smith,,DT,Bowling Green,,5116,281,85.2,-1.9,3.2,Smith,5116,281,32,9.625,78,5.27,3.06,1.82,4.5,7.76,16,27,8.58
92,Franklin Uesi,,DT,Texas-San Antonio,,6014,278,85.1,-1.9,3.1,Uesi,6014,278,32.875,9.875,76.375,5.33,2.94,1.85,4.76,7.77,20,29,8.67
93,Steven Richardson,,DT,Minnesota,,5105,295,84.7,-1.9,3,Richardson,5105,295,30.25,9.75,76.25,5.19,2.96,1.91,4.75,8.06,31,28,8.42
94,Terrence Summers,,DT,Tennessee State,,6010,317,84.6,-1.9,2.9,Summers,6010,317,32,8.875,77.5,5.21,2.95,1.86,5.19,8.07,31,24.5,8.25
95,Chris Ford,,DT,Buffalo,,6020,326,84.5,-1.9,2.9,Ford,6020,326,30.5,8.875,76.5,5.44,3.16,1.91,5.09,8.51,30,25,8.42
96,Tyrell Chavis,,DT,Penn State,,6033,305,84.2,-1.9,2.7,Chavis,6033,305,33.125,10.875,81.625,5.3,3.03,1.86,4.76,8.27,18,24.5,8.83
97,Tony Guerad,,DT,Central Florida,,6034,297,84.1,-1.9,2.7,Guerad,6034,297,32.75,9.5,80.125,5.56,2.99,1.88,4.76,7.8,,27,8.25
98,R.J. McIntosh,DL43,DT,Miami,22.2,6044,286,83.9,-1.9,2.6,McIntosh,6044,286,33.875,9.375,82.75,5.12,2.93,1.8,5.09,7.78,,27,8.25
99,Luca Bruno,,DT,Arizona,,6027,293,83.6,-2,2.5,Bruno,6027,293,31.75,9.5,76.375,5.17,2.89,1.84,4.81,8.14,31,26.5,8.25
100,Ke'Tyrus Marks,,DT,Samford,,6012,295,83.5,-2,2.4,Marks,6012,295,33.875,9.5,81.5,5.27,3.06,1.82,4.83,7.96,22,24.5,8.58
101,Devlyn Cousin,,DT,West Georgia,,6012,281,83.4,-2,2.4,Cousin,6012,281,30.875,9.75,76.375,5.12,2.95,1.82,4.53,7.73,27,26,8.25
102,Khalil Sommerville,,DT,Buffalo State,,6002,300,82.9,-2,2.2,Sommerville,6002,300,31.125,9.625,74.5,5.01,2.99,1.81,4.83,8.03,25,26,8
103,Paisa Savea,,DT,Oregon State,,6031,303,82.6,-2,2.1,Savea,6031,303,33.125,9.625,78.375,5.53,3.05,1.86,5.08,8.08,29,25,8.33
104,Josh Fatu,,DT,Southern Cal,,6016,310,82.5,-2,2.1,Fatu,6016,310,31.625,10.125,77,5.43,3.09,1.84,5.01,8.08,29,22,8.5
105,Joshua Frazier,DL04,DT,Alabama,22.8,6027,321,82.4,-2.1,2,Frazier,6027,321,34.25,10,79.625,5.27,3.07,1.87,4.7,7.95,21,23,8.25
