#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
46,Deldrick Canty,,DE,Louisiana Tech,,6013,262,107.8,-0.9,18.8,Canty,6013,262,32.625,9.5,79.5,4.87,2.86,1.75,4.59,7.4,28,34,9.75
47,Christian Hill,,DE,Arizona State,,6047,276,107.1,-0.9,17.5,Hill,6047,276,33.5,9.5,80.125,4.89,2.81,1.7,4.59,7.49,26,31.5,9.58
48,Brian Womac,,DE,Rice,,6020,235,106.7,-1,16.6,Womac,6020,235,31.625,8.625,75.5,4.81,2.85,1.63,4.39,7.44,18,33.5,9.67
49,Shaq Jones,,DE,UAB,,6026,248,106.1,-1,15.5,Jones,6026,248,34.125,10.125,81.875,4.8,2.72,1.65,4.66,7.21,17,36,9.25
50,Christian Johnson,,DE,Memphis,,6036,271,105.8,-1,15.1,Johnson,6036,271,33,9.375,79,4.82,2.79,1.6,4.76,7.25,19,31,9.08
51,Arden Key,DL38,DE,LSU,22.3,6047,238,104.8,-1.1,13.3,Key,6047,238,33.5,10,82.125,4.88,2.76,1.75,4.25,7.16,,31,9.75
52,Luke Carrezola,,DE,Connecticut,,6017,257,104.5,-1.1,12.8,Carrezola,6017,257,32.375,9.875,80.5,4.93,2.89,1.69,4.52,7.4,19,34,9.58
53,Kene Okonkwo,,DE,New Mexico,,6035,265,103.9,-1.2,11.9,Okonkwo,6035,265,31.5,8.625,79,4.87,2.79,1.69,4.43,7.42,21,30,9.42
54,Jeff Holland,LB17,DE,Auburn,21.9,6013,249,103.5,-1.2,11.4,Holland,6013,249,33.5,10.5,80,4.78,2.75,1.71,4.72,7.25,,31.5,9.83
55,Marcus Williamson,,DE,Coastal Carolina,,6021,249,103.3,-1.2,11.1,Williamson,6021,249,33.25,10.125,80.5,4.78,2.71,1.67,4.67,7.57,,34.5,9.58
56,Naashon Hughes,,DE,Texas,,6034,259,102.3,-1.3,9.8,Hughes,6034,259,33.125,10,79.875,4.76,2.75,1.65,4.49,7.7,23,30.5,9.33
57,Cavon Walker,,DE,Maryland,,6021,284,102,-1.3,9.4,Walker,6021,284,32.375,9.75,77.125,4.97,2.87,1.78,4.65,7.48,31,30,9.5
58,Conor Sheehy,,DE,Wisconsin,,6036,295,101.9,-1.3,9.2,Sheehy,6036,295,31.625,9.375,77.125,5.26,2.97,1.8,4.61,7.61,21,32,9.67
59,Mat Boesen,,DE,TCU,,6040,238,101.8,-1.3,9.1,Boesen,6040,238,32.5,10.125,78.5,4.99,2.78,1.67,4.33,7.13,21,31.5,9.5
