#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
98,Jesse Mack,,CB,Kansas State,,5113,173,107.1,-1,16.3,Mack,5113,173,,,,4.68,2.67,1.62,4.18,6.99,6,36,10.5
99,Corn Elder,DB11,CB,Miami,22.9,5097,183,107,-1,16.1,Elder,5097,183,31.25,8.75,74.25,4.49,2.6,1.6,,,,35,9.67
100,Malik Foreman,,CB,Tennessee,,5095,188,106.9,-1,15.9,Foreman,5095,188,,,,4.41,2.52,1.58,4.28,7.45,11,35.5,10.08
101,Alvin Hill,,CB,Maryland,,6000,201,106.9,-1,15.8,Hill,6000,201,,,,4.69,2.66,1.56,4.47,7.12,11,34,10.17
102,Khairi Sharif,,CB,West Virginia,,5074,184,106.7,-1,15.3,Sharif,5074,184,,,,4.62,2.64,1.52,4.47,7.08,16,34.5,9.92
103,Kiante Northington,,CB,Eastern Kentucky,,5085,182,106.4,-1,14.9,Northington,5085,182,,,,4.55,2.56,1.56,4.19,7.17,13,34.5,9.75
104,John Armstrong,,CB,Wake Forest,,5082,161,106.2,-1.1,14.2,Armstrong,5082,161,,,,4.43,2.65,1.53,4.26,6.9,13,34,9.83
105,Deonte Wilson,,CB,Florida International,,5113,185,106.1,-1.1,14,Wilson,5113,185,,,,4.61,2.66,1.54,4.39,7.07,5,36,9.83
106,Thierry Nguema,,CB,Texas Tech,,5097,170,105.9,-1.1,13.7,Nguema,5097,170,,,,4.56,2.64,1.62,4.25,7.03,11,37.5,10.08
107,Thomas Singleton,,CB,Northern Colorado,,5084,179,105.9,-1.1,13.7,Singleton,5084,179,,,,4.7,2.75,1.52,4.41,7.36,11,35,10.42
108,Raheeme Dumas,,CB,Fort Hays State,,5107,195,105.4,-1.1,12.7,Dumas,5107,195,,,,4.68,2.7,1.58,,,16,35.5,9.58
109,Aarion Penton,,CB,Missouri,23,5095,198,105.4,-1.1,12.6,Penton,5095,198,29.625,9.125,71.75,4.61,2.63,1.51,4.6,7.19,13,32.5,10.17
110,Carlos Davis,,CB,Mississippi,,5084,174,105.2,-1.2,12.3,Davis,5084,174,,,,4.43,2.59,1.57,4.48,6.97,15,36,9.83
111,Case Woodard,,CB,Catawba,,5100,165,104.6,-1.2,11.1,Woodard,5100,165,,,,4.71,2.52,1.57,4.19,6.85,,36,9.67
112,Darian Hicks,,CB,Michigan State,,5103,188,104.5,-1.2,10.9,Hicks,5103,188,,,,4.59,2.6,1.6,4.44,7.02,19,34.5,9.92
113,Channing Stribling,DB46,CB,Michigan,22.8,6012,188,104.3,-1.3,10.5,Stribling,6012,188,31.5,8.5,76.125,4.6,2.66,1.61,4.27,6.94,5,33.5,10.08
114,Bryce Jones,,CB,Akron,,5113,181,103.8,-1.3,9.7,Jones,5113,181,,,,4.67,2.64,1.61,4.3,7.06,13,34,10.25
115,Lenzy Pipkins,,CB,Oklahoma State,,5117,196,103.8,-1.3,9.6,Pipkins,5117,196,,,,4.46,2.59,1.51,4.4,7.31,11,33.5,9.42
116,T.J. Davis,,CB,Auburn,,5115,200,103.7,-1.3,9.6,Davis,5115,200,,,,4.56,2.6,1.57,4.31,7.15,19,34,9.17
117,Brandon Stewart,,CB,Kansas,,5104,176,103.6,-1.3,9.4,Stewart,5104,176,,,,4.6,2.56,1.55,4.33,7.09,,33.5,9.92
118,Jamal Ellis,,CB,Fresno State,,5096,175,103.5,-1.3,9.2,Ellis,5096,175,,,,4.67,2.67,1.63,4.28,7.06,14,35.5,10.25
119,Jhavon Williams,,CB,Connecticut,,5101,186,103.4,-1.3,9.1,Williams,5101,186,,,,4.59,2.57,1.62,4.29,7.04,,33.5,10
120,Jordon Vaden,,CB,Colorado State,,6032,196,102.9,-1.4,8.3,Vaden,6032,196,,,,4.67,2.77,1.65,4.4,6.59,,31.5,10
121,Braxton Brown,,CB,Florida A&M,,5080,166,102.9,-1.4,8.2,Brown,5080,166,,,,4.64,2.58,1.56,4.1,6.96,12,32,9.92
122,Clim Robbins,,CB,Central State,,5073,183,102.8,-1.4,8.1,Robbins,5073,183,,,,4.47,2.63,1.55,4.56,7.11,17,34,9.83
123,Devontre Parnell,,CB,Southern Miss,,5095,192,102.7,-1.4,8,Parnell,5095,192,,,,4.59,2.69,1.6,4.62,7.43,13,38,10.25
124,Roland Ladipo,,CB,Air Force,,5094,190,102.6,-1.4,7.9,Ladipo,5094,190,,,,4.65,2.68,1.59,4.5,7.09,12,35.5,9.92
125,Will Watson,,CB,Bowling Green,,5106,188,102.4,-1.4,7.6,Watson,5106,188,,,,4.68,2.66,1.59,4.33,6.82,15,30.5,10
126,Marcus Rios,,CB,UCLA,,5112,192,102.2,-1.5,7.2,Rios,5112,192,,,,4.55,2.62,1.63,4.22,7.25,18,30,10.33
127,Dontrell Nelson,,CB,Memphis,,6002,172,101.9,-1.5,6.9,Nelson,6002,172,,,,4.5,2.6,1.65,4.12,6.85,9,33,10
128,Taylor Reynolds,,CB,James Madison,,5111,195,101.9,-1.5,6.9,Reynolds,5111,195,,,,4.66,2.7,1.69,4.23,6.93,,33.5,10
129,Jaylen Hill,,CB,Jacksonville State,,5104,186,101.8,-1.5,6.8,Hill,5104,186,,,,4.72,2.72,1.57,4.2,7.4,13,33.5,9.92
130,Bakari Blunt,,CB,Assumption,,5084,172,101.8,-1.5,6.8,Blunt,5084,172,,,,4.74,2.74,1.61,4.32,7.07,,34,10.42
131,Cedric Dozier,,CB,Kansas State,,5094,182,101.7,-1.5,6.6,Dozier,5094,182,,,,4.62,2.7,1.6,4.24,7.02,11,35.5,9.42
132,Tyquwan Glass,,CB,Fresno State,23.2,5112,190,101.7,-1.5,6.6,Glass,5112,190,31.375,8.875,74,4.7,2.68,1.6,4.26,6.85,13,32.5,9.58
133,Michael Davis,,CB,BYU,,6015,190,101.6,-1.5,6.6,Davis,6015,190,,,,4.4,2.59,1.6,4.34,7.03,12,29,10.17
134,Ashton Lampkin,DB32,CB,Oklahoma State,23.6,6002,189,101.5,-1.5,6.4,Lampkin,6002,189,31,9.375,74,4.52,2.63,1.61,4.5,7.26,19,34.5,10
135,Tevin Homer,,CB,Florida Atlantic,,6006,189,101.2,-1.5,6.1,Homer,6006,189,,,,4.6,2.72,1.57,4.5,7.37,13,37.5,9.58
136,Tyree Jefferson,,CB,Pittsburg State,,5100,180,101.1,-1.6,5.9,Jefferson,5100,180,,,,4.58,2.65,1.6,4.47,7.23,11,35.5,10.17
137,Will Hines,,CB,Southeastern,,6010,190,101,-1.6,5.8,Hines,6010,190,,,,4.61,2.64,1.69,4.38,7.37,10,38,10.33
138,Larry Hope,,CB,Akron,,5107,191,100.5,-1.6,5.3,Hope,5107,191,,,,4.64,2.64,1.62,4.48,7.21,15,35,10
139,Devyn Bryant,,CB,San Diego,,5103,188,100,-1.7,4.8,Bryant,5103,188,,,,4.67,2.62,1.65,4.42,7.16,14,34.5,10.25
140,Raymond Ford,,CB,Boise State,,5094,192,100,-1.7,4.8,Ford,5094,192,,,,4.62,2.63,1.63,4.19,7.12,4,32.5,9.92
141,John Walker,,CB,Montana State,,5091,181,99.9,-1.7,4.7,Walker,5091,181,,,,4.64,2.7,1.62,4.45,7.16,15,34,10.25
142,DJ Dean,,CB,Arkansas,,5103,198,99.8,-1.7,4.6,Dean,5103,198,,,,4.61,2.65,1.63,4.54,6.85,20,33,9.58
143,Marion Lambright,,CB,Minnesota State,,5100,176,99.7,-1.7,4.5,Lambright,5100,176,,,,4.5,2.56,1.57,4.23,7.02,,34.5,9
144,Daniel Gray,,CB,Utah State,,5097,180,99.6,-1.7,4.4,Gray,5097,180,,,,4.41,2.54,1.54,4.62,7.33,12,32.5,10.25
145,Jamarii Milliken,,CB,Furman,,5094,189,99.1,-1.8,4,Milliken,5094,189,,,,4.59,2.68,1.64,4.33,7.19,10,36,9.58
146,DeAndre Scott,,CB,Akron,,5102,191,98.6,-1.8,3.6,Scott,5102,191,,,,4.77,2.69,1.61,4.31,6.93,13,32,9.67
147,Javante ORoy,,CB,Texas State,,5107,181,98.5,-1.8,3.5,ORoy,5107,181,,,,4.68,,1.59,4.52,7.14,18,35,9.75
148,Marshall Taylor,,CB,Auburn,,6024,195,98.2,-1.8,3.3,Taylor,6024,195,,,,4.55,2.68,1.6,4.65,7.41,13,34,10.25
149,Anthony Hill,,CB,Hamline,,6010,189,98.2,-1.8,3.3,Hill,6010,189,,,,4.59,2.65,1.66,4.4,7.25,,35.5,9.83
150,Jalen Rogers,,CB,Hawaii,,6001,193,98.1,-1.8,3.2,Rogers,6001,193,,,,4.63,2.64,1.58,4.55,7.47,13,34.5,10
151,Treston Decoud,DB09,CB,Oregon State,24.1,6017,206,98.1,-1.8,3.2,Decoud,6017,206,33,9.25,77.25,4.57,2.64,1.57,4.53,7.2,11,31,9.67
152,Brendon Clements,,CB,Navy,,5100,190,98.1,-1.8,3.2,Clements,5100,190,,,,4.66,2.67,1.55,4.38,7.03,8,31.5,9.5
153,Dwayne Thomas,,CB,LSU,,5106,196,97.9,-1.9,3.1,Thomas,5106,196,,,,4.66,2.65,1.67,4.38,7.19,18,33.5,9.92
154,Jalen Rountree,,CB,Troy,,5101,177,97.7,-1.9,3,Rountree,5101,177,,,,4.7,2.7,1.6,4.44,7,4,34,10.08
155,Justin Thomas,,CB,Utah,,5076,174,97.5,-1.9,2.8,Thomas,5076,174,,,,4.58,2.68,1.66,4.26,7.09,14,33.5,10
156,Alan Wright,,CB,Fresno State,,6002,184,97.1,-2,2.6,Wright,6002,184,,,,4.67,2.63,1.62,4.33,7.22,,33,9.83
157,Torren McGaster,,CB,Vanderbilt,,5111,205,96.8,-2,2.4,McGaster,5111,205,,,,4.6,2.65,1.62,4.33,7.06,12,30,9.5
158,Aaron Young,,CB,Old Dominion,,5103,186,96.2,-2,2.1,Young,5103,186,,,,4.74,2.72,1.64,4.4,7.14,9,35,9.83
159,Kenny Bishop,,CB,Youngstown State,,5106,184,95.6,-2.1,1.8,Bishop,5106,184,,,,4.58,2.71,1.54,4.45,6.85,9,30.5,9.25
160,Armani Sampson,,CB,Jacksonville,,5084,192,95.5,-2.1,1.8,Sampson,5084,192,,,,4.58,2.62,1.6,4.47,7.5,15,33.5,9.75
161,Trey Dickerson,,CB,Emporia State,,5102,174,94.6,-2.2,1.4,Dickerson,5102,174,,,,4.69,2.71,1.63,,,8,33,10
162,Chad Davis,,CB,North Texas,,5100,182,94.4,-2.2,1.4,Davis,5100,182,,,,4.58,2.63,1.69,4.2,7.18,13,33,9.75
163,Chauncey Lanier,,CB,Memphis,,5106,181,93.9,-2.3,1.2,Lanier,5106,181,,,,4.56,2.56,1.69,4.39,7.02,15,32.5,9.92
164,Demetrius Johnson,,CB,Texas Southern,,5115,181,93.5,-2.3,1.1,Johnson,5115,181,,,,4.62,2.69,1.68,4.59,6.68,10,35,9.58
165,Mike Hollins,,CB,John Carroll,,5086,184,93.3,-2.3,1,Hollins,5086,184,,,,4.77,2.81,1.6,4.28,7.48,18,33,9.5
