#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
72,Derrick Nelson,,C,Rutgers,,6027,298,96.8,-0.6,28.6,Nelson,6027,298,,,,5.44,3.09,1.82,4.73,7.75,26,28,9.08
73,Aviante Collins,OL09,OT,TCU,,6041,295,96.6,-0.6,28,Collins,6041,295,33.375,9.375,78.75,4.77,2.81,1.69,4.75,7.85,34,24,8.5
74,Eddie Gordon,,C,Louisiana-Lafayette,,6010,310,96.5,-0.6,27.8,Gordon,6010,310,,,,5.07,2.94,1.81,4.71,7.56,24,29.5,8.17
75,Kiola Mahoni,,OG,Louisville,,6014,315,95.5,-0.6,27.8,Mahoni,6014,315,,,,5.24,3,1.81,4.81,7.98,21,29,8.5
76,Ethan Pocic,OL35,OC,LSU,22.1,6060,310,96.1,-0.6,26.8,Pocic,6060,310,33.125,10.125,80.375,5.12,3.02,1.82,4.81,7.89,26,27,8.92
77,Darrell Brown,,OG,Louisiana Tech,,6047,317,95.1,-0.6,26.7,Brown,6047,317,,,,5.2,3.03,1.89,4.83,7.93,25,28,8.92
78,Brandon Kublanow,,C,Georgia,,6020,300,96.1,-0.6,26.7,Kublanow,6020,300,,,,5.27,3.07,1.75,4.69,8.01,31,29,8.33
79,Paul Perschon,,OG,Toledo,,6055,319,95.1,-0.6,26.7,Perschon,6055,319,,,,5.44,3.03,1.81,5.09,8.01,23,27.5,8.67
80,Darrell Williams Jr.,,OT,Western Kentucky,,6052,315,95.6,-0.7,25.7,Williams Jr.,6052,315,,,,5.24,3.02,1.79,4.93,7.81,25,29,8.25
81,Dieugot Joseph,,OT,Florida International,23.4,6056,293,95.6,-0.7,25.7,Joseph,6056,293,35.625,10.5,83.5,5.21,3,1.76,4.87,7.83,21,31,8.5
82,Dylan Wiesman,,OG,Tennessee,,6035,309,94.5,-0.7,25.2,Wiesman,6035,309,,,,5.06,3,1.84,4.89,8.11,27,28.5,8.75
83,Ernest Mengoni,,C,Delaware State,,6014,299,95.5,-0.7,25.1,Mengoni,6014,299,,,,5.68,3.16,1.68,4.73,7.8,29,25.5,8
84,Roderick Johnson,OL25,OT,Florida State,21.8,6066,298,95.4,-0.7,25.1,Johnson,6066,298,36,10.75,86.375,4.9,2.89,1.75,4.94,7.92,21,29.5,8.58
85,Nate Theaker,OL44,OG,Wayne State (MI),23.9,6046,315,94.1,-0.7,24.2,Theaker,6046,315,32.625,9.625,78.5,5.41,3.11,1.86,4.89,7.97,30,27,8.75
86,Andrew Lauderdale,,OT,New Hampshire,,6062,300,94.9,-0.7,24,Lauderdale,6062,300,,,,4.9,,1.89,4.74,7.27,21,28,8.58
87,Brian Gaia,,C,Penn State,,6023,292,95,-0.7,23.9,Gaia,6023,292,,,,5.17,3.01,1.79,4.7,7.82,32,28,8.75
88,Nick Fett,,OG,Iowa State,,6071,312,94,-0.7,23.8,Fett,6071,312,,,,5.4,3.09,1.82,5.15,7.85,23,27,8.83
89,Marcus Piechowski,,OT,Northern Colorado,,6054,302,94.8,-0.7,23.7,Piechowski,6054,302,,,,5.09,3.03,1.71,5.12,8.12,24,27,8.42
