#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
64,Kenny Johnston,,TE,Florida Tech,,6026,226,93.8,-1.7,4.1,Johnston,6026,226,,,,4.87,2.85,1.67,4.36,6.99,13,28,9.33
65,Connor Cella,,TE,Rice,,6023,248,93.6,-1.8,4,Cella,6023,248,,,,4.91,2.84,1.7,4.79,7.07,23,32.5,8.83
66,Tanner Vallely,,TE,Towson,,6057,255,92.7,-1.8,3.4,Vallely,6057,255,,,,5.01,2.89,1.68,4.6,7.6,18,31,9.67
67,Nate Iese,,TE,UCLA,22.9,6026,252,92.6,-1.8,3.4,Iese,6026,252,32.75,10.25,79.25,4.97,2.87,1.68,4.6,7.3,14,29,9.67
68,Hayden Plinke,TE14,TE,UTEP,24.7,6042,264,91.8,-1.9,3,Plinke,6042,264,32.5,10,76.5,4.94,2.8,1.72,4.59,7.55,18,31,9.08
69,Kyle Hoffman,,TE,Charlotte,,6042,259,90.2,-2,2.2,Hoffman,6042,259,,,,5.11,2.91,1.72,4.62,7.32,21,31,9.08
70,Jordan Powell,,TE,New Hampshire,,6033,246,89.1,-2.1,1.8,Powell,6033,246,,,,5,2.95,1.67,4.41,7.19,22,28,8.83
71,Keith Rucker,,TE,Georgia State,,6017,241,89,-2.1,1.8,Rucker,6017,241,,,,4.79,2.69,1.65,4.75,7.46,13,30.5,9
72,Steve Donatell,,TE,Western Kentucky,,6045,235,87.9,-2.2,1.5,Donatell,6045,235,,,,5.07,2.91,1.68,4.42,7.07,11,31,8.75
73,Nolan Peralta,,TE,Colorado State,,6032,240,86.8,-2.3,1.2,Peralta,6032,240,,,,5.08,2.93,1.81,4.52,7.24,16,31,9.25
74,Collin Rison,,TE,Sam Houston State,,6035,223,85,-2.4,0.8,Rison,6035,223,,,,5,,,4.8,7.53,17,32.5,9.75
75,Dan Crimmins,,TE,Eastern Kentucky,,6056,255,84.2,-2.5,0.7,Crimmins,6056,255,,,,5.13,2.93,1.77,4.71,7.71,,29.5,9.58
76,Barrett Burns,,TE,Appalachian State,,6034,249,83.9,-2.5,0.7,Burns,6034,249,,,,4.99,2.88,1.7,4.57,7.17,19,28.5,8.58
76,Colin Thompson,,TE,Temple,,6040,254,83.6,-2.5,0.6,Thompson,6040,254,,,,5.01,2.84,1.69,4.65,7.42,18,28,9
,DeSean Smith,,TE,LSU,,6041,240,83.4,-2.5,0.6,Smith,6041,240,,,,4.95,2.89,1.8,4.52,7.39,13,28.5,9.25
,Drew Neuville,,TE,Bethel (MN),,6041,238,81.8,-2.6,0.4,Neuville,6041,238,,,,4.93,2.83,1.84,4.53,7.45,,27,9.25
,Matt Lickfold,,TE,Montana Western,,6033,249,81.4,-2.7,0.4,Lickfold,6033,249,,,,5.11,3.01,1.82,4.55,7.44,14,30.5,8.92
