#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
53,Chris Brockman,,ILB,Colorado Mines,,5106,219,117.4,-0.3,40.1,Brockman,5106,219,,,,4.76,2.66,1.67,4.51,7.1,20,39.5,10.25
54,Nakevian Leslie,,OLB,Chattanooga,,5111,228,117,-0.3,40,Leslie,5111,228,,,,4.63,2.71,1.64,4.41,7.27,22,35.5,10
55,Deondre Barnett,,OLB,Southern Illinois,,6021,242,116.8,-0.3,39.6,Barnett,6021,242,,,,4.8,2.78,1.69,,,20,34.5,10.58
56,Stephen Jacobs,,ILB,Bridgewater State,,6014,255,117.1,-0.3,39.2,Jacobs,6014,255,,,,4.94,2.62,1.63,4.41,6.93,24,36,9.58
57,Dalton Santos,,ILB,Louisiana Tech,,6020,237,117,-0.3,38.9,Santos,6020,237,,,,4.65,2.72,1.6,4.43,7.15,23,33,9.92
58,Trace Gray II,,ILB,Colorado State-Pueblo,,6021,234,116.9,-0.3,38.4,Gray II,6021,234,,,,4.92,2.71,1.62,4.32,7.01,20,36,10.08
59,Rodney Butler,,ILB,New Mexico State,,6001,230,116.8,-0.3,38.3,Butler,6001,230,,,,4.76,2.68,1.72,4.31,7.4,23,39,10.08
60,Tau Lotulelei,,ILB,UNLV,22.8,6002,229,116.7,-0.3,37.8,Lotulelei,6002,229,31.125,10.125,75.625,4.83,2.78,1.65,4.3,6.94,22,34.5,10.08
61,Ladell Fleming,,OLB,Northern Illinois,,6002,230,116.2,-0.3,37.7,Fleming,6002,230,,,,4.7,2.68,1.67,4.47,7.16,26,36,10
62,Marcus Oliver,,ILB,Indiana,,6005,240,116.5,-0.3,37.4,Oliver,6005,240,,,,4.67,2.66,1.63,4.33,7.09,23,34,9.5
63,Riley Bullough,LB09,ILB,Michigan State,22.8,6015,226,116.2,-0.3,36.4,Bullough,6015,226,31.25,9.875,74.5,4.73,2.72,1.6,4.18,7,29,31.5,9.67
64,Austin Calitro,,LB,Villanova,23.6,6004,239,115.9,-0.3,36.4,Calitro,6004,239,32.25,9.375,77.75,4.67,2.71,1.64,4.31,6.96,24,34,9.25
65,Brad Simpson,,ILB,Nebraska,,6000,226,115.6,-0.4,34.5,Simpson,6000,226,,,,4.9,2.78,1.64,4.22,6.65,22,34,9.75
66,Jamal Marcus,,OLB,Akron,,6016,240,114.8,-0.4,34.2,Marcus,6016,240,,,,4.77,2.75,1.66,4.36,7.26,17,33.5,10.33
67,Isaiah Irving,,OLB,San Jose State,23.2,6033,255,114.8,-0.4,34.1,Irving,6033,255,32.375,10.125,80.25,4.87,2.79,1.7,4.34,7.24,22,36,9.75
68,Andrew King,,LB,Army,,5112,228,115,-0.4,33.8,King,5112,228,32.25,10,77,4.78,2.79,1.62,4.32,7.21,17,36.5,9.83
69,Aaron Cooper,,OLB,Kentucky Christian,,6026,240,114.6,-0.4,33.6,Cooper,6026,240,,,,4.83,2.72,1.68,4.4,7.05,16,36.5,9.92
70,Alex Manigo,,OLB,San Jose State,,5112,226,114.4,-0.4,33.1,Manigo,5112,226,,,,4.6,2.68,1.65,4.52,6.88,19,33.5,9.83
71,Jermaine Grace,,OLB,Miami,,6001,223,114.3,-0.4,32.7,Grace,6001,223,,,,4.57,2.59,1.61,4.37,7.37,21,33,10
72,Jet Moreland,,OLB,South Dakota,,6016,224,114.3,-0.5,32.6,Moreland,6016,224,,,,4.68,2.72,1.64,4.45,7.28,18,37,9.92
73,Bam Bradley,,OLB,Pittsburgh,,5115,230,114.2,-0.5,32.5,Bradley,5115,230,,,,4.54,2.62,1.63,4.73,7.28,18,35,10.17
74,P.J. Davis,,ILB,Georgia Tech,,5091,232,114.7,-0.5,31.9,Davis,5091,232,,,,4.63,2.69,1.6,4.31,7.19,26,34,9.25
75,Kennan Gilchrist,,OLB,Appalachian State,23,6005,230,114,-0.5,31.9,Gilchrist,6005,230,32.25,8.25,75.5,4.62,2.68,1.57,4.47,7.52,26,35,9.75
76,Johnny Ragin III,,OLB,Oregon,,6015,229,113.9,-0.5,31.8,Ragin III,6015,229,,,,4.76,2.81,1.62,4.07,7.09,17,31,9.83
77,Jalen Reeves-Maybin,LB25,OLB,Tennessee,22.6,6003,230,113.7,-0.5,31.2,Reeves-Maybin,6003,230,32.5,9.625,76.75,4.68,2.68,1.64,4.38,7.35,,35.5,9.75
78,Hayden Clegg,,OLB,Utah,,6011,227,113.1,-0.5,29.8,Clegg,6011,227,,,,4.73,2.82,1.61,4.13,7.14,26,30.5,9.67
79,Paul Magloire Jr.,,LB,Arizona,24.7,6002,225,112.7,-0.6,27.7,Magloire Jr.,6002,225,31.625,9.125,74.625,4.77,2.75,1.65,4.32,6.95,25,32,9.92
80,Anthony Walker Jr.,LB28,ILB,Northwestern,22.1,6005,238,113.3,-0.6,27.7,Walker Jr.,6005,238,30.375,9.5,73.125,4.65,2.67,1.57,4.34,7.23,23,30.5,9.67
81,Aiavion Edwards,,ILB,Baylor,,6000,224,113.1,-0.6,27.3,Edwards,6000,224,,,,4.68,2.6,1.55,4.52,7.46,21,34.5,10.17
82,Jayon Brown,LB08,ILB,UCLA,22.5,6000,231,112.8,-0.6,26.3,Brown,6000,231,31.375,9.625,74.5,4.56,2.65,1.62,4.53,7.28,20,32.5,10
83,Tabari McGaskey,,OLB,Rice,,5115,219,111.3,-0.7,25.2,McGaskey,5115,219,,,,4.79,2.72,1.7,4.25,6.95,18,35,9.75
84,Sie Doe Jr.,,OLB,Fort Hays State,,5102,223,111.1,-0.7,24.8,Doe Jr.,5102,223,,,,4.73,2.76,1.64,,,31,34.5,9.42
85,LaKeith Walls,,OLB,UNLV,,6021,226,111,-0.7,24.6,Walls,6021,226,,,,4.61,2.66,1.61,4.46,7.2,20,30.5,10.08
86,Claude George,,ILB,Texas A&M,,6012,240,112.1,-0.7,24.6,George,6012,240,,,,4.84,2.72,1.62,4.48,7.26,23,34.5,10
87,Anthony Zappone,,ILB,Slippery Rock,,6013,243,112,-0.7,24.2,Zappone,6013,243,,,,4.86,2.76,1.57,4.36,7.15,22,32,9.75
88,Christian Kuntz,,OLB,Duquesne,,6010,232,110.8,-0.7,24.1,Kuntz,6010,232,,,,4.81,2.78,1.65,4.39,6.81,23,32,9.67
89,Jordan Moore,,OLB,Texas-San Antonio,,6016,227,110.2,-0.7,22.8,Moore,6016,227,,,,4.62,2.67,1.56,4.57,7.59,19,34,10.08
90,Jason Hatcher,,OLB,West Georgia,,6016,249,110.1,-0.8,22.6,Hatcher,6016,249,,,,4.77,2.79,1.6,4.46,7.25,23,32,9.58
91,Bruce Livingston,,ILB,Arkansas Tech,,5096,245,111.2,-0.8,22.1,Livingston,5096,245,,,,4.81,2.75,1.67,4.49,7.51,25,35,10.17
92,Vantrel McMillan,,OLB,Chattanooga,,6015,250,109.8,-0.8,22.1,McMillan,6015,250,,,,4.8,2.75,1.66,4.43,7.21,,31.5,9.83
93,Connor Harris,LB17,ILB,Lindenwood,24.2,5111,242,110.9,-0.8,21.5,Harris,5111,242,30.125,9.375,71.75,4.73,2.78,1.67,4.31,7.13,18,33,9.5
94,Nathan Ricketts,,OLB,Central Michigan,,6025,237,109.6,-0.8,21.5,Ricketts,6025,237,,,,4.93,2.92,1.81,4.34,6.96,23,34.5,10.08
95,Tevin Floyd,,OLB,Citadel,,5116,237,109.4,-0.8,21.2,Floyd,5116,237,,,,4.63,,,4.41,7.01,20,32,9.08
96,Marquel Lee,LB19,ILB,Wake Forest,21.9,6032,240,110.6,-0.8,20.8,Lee,6032,240,32.5,9.5,78.125,4.78,2.71,1.62,4.33,7.28,25,31,9.83
97,Ryan Watson,,OLB,Air Force,,6026,249,108.9,-0.8,20.2,Watson,6026,249,,,,4.61,2.66,1.59,4.6,7.12,23,29.5,9.5
98,Tyke Kozeal,,ILB,Nebraska-Kearney,,5103,232,110.2,-0.8,19.9,Kozeal,5103,232,,,,4.79,2.8,1.66,4.2,7.1,25,32,9.5
99,Makani Kema-Kaleiwahea,,OLB,Hawaii,,6020,239,108.3,-0.9,18.8,Kema-Kaleiwahea,6020,239,,,,4.8,2.72,1.6,4.35,7.28,23,31.5,9.58
100,Daquan Lucas,,OLB,Charlotte,,5097,207,108.3,-0.9,18.8,Lucas,5097,207,,,,4.65,2.52,1.63,4.5,7.36,22,34.5,10.08
101,Brandon Bell,,OLB,Penn State,,6011,233,108,-0.9,18.4,Bell,6011,233,,,,4.7,2.7,1.69,4.33,7.05,15,32,9.58
102,Nigel Harris,,OLB,South Florida,,6011,220,108,-0.9,18.3,Harris,6011,220,,,,4.57,2.59,1.61,4.52,7.45,15,36,9.5
103,Donnie White,,OLB,New Mexico,,6012,232,108,-0.9,18.3,White,6012,232,,,,4.76,,,,,17,31,10.08
104,Jerrol Garcia-Williams,,ILB,Hawaii,,6021,232,109.5,-0.9,18.2,Garcia-Williams,6021,232,,,,4.84,2.7,1.63,4.48,7.46,20,36,10.08
105,Bernard Dawson,,OLB,Georgia Southern,,6006,231,107.9,-0.9,18.1,Dawson,6006,231,,,,4.81,2.78,1.69,4.35,6.94,16,31.5,9.92
106,Calvin Munson,,LB,San Diego State,22.7,6005,241,107.9,-1,16.9,Munson,6005,241,31,9.5,76,4.79,2.72,1.68,4.39,7.2,25,31.5,9.75
107,Gary Thompson,,OLB,Marshall,,6004,269,107.1,-1,16.7,Thompson,6004,269,,,,4.74,2.75,1.64,4.49,7.72,26,31,9.33
108,Braxton Moore,,OLB,Louisiana-Monroe,,5106,221,107,-1,16.4,Moore,5106,221,,,,4.72,2.69,1.69,4.27,7.24,10,35.5,9.5
109,Christopher Harthone,,OLB,West Georgia,,5111,234,106.9,-1,16.3,Harthone,5111,234,,,,4.79,2.78,1.57,4.45,7.16,18,33.5,9.25
110,Hardy Nickerson,LB23,ILB,Illinois,23.7,5115,232,108.5,-1,16.1,Nickerson,5115,232,32,10,74.875,4.74,2.71,1.62,4.38,7.3,18,33,9.67
111,Devante Averette,,OLB,Oklahoma State,,5111,230,106.8,-1,16,Averette,5111,230,,,,4.77,2.79,1.61,4.39,7.28,20,33.5,9.42
112,Sean Folliard,,OLB,Northern Illinois,,6015,225,106,-1,14.8,Folliard,6015,225,,,,4.82,2.71,1.67,4.45,7,25,32.5,9.67
113,Alex Lyons,,ILB,Rice,,5114,227,107.6,-1.1,14.4,Lyons,5114,227,,,,4.67,2.67,1.69,4.52,7.38,12,36.5,9.83
114,JKevin Jackson,,OLB,Western Michigan,,6020,218,105.8,-1.1,14.3,Jackson,6020,218,,,,4.7,2.68,1.57,4.67,7.38,18,33.5,10.08
115,Anthony Williams,,ILB,Utah State,,6012,242,107.6,-1.1,14.3,Williams,6012,242,,,,4.79,2.8,1.64,4.68,7.45,20,36,9.92
116,Anthony Wilson,,OLB,Old Dominion,,6000,228,105.6,-1.1,14.1,Wilson,6000,228,,,,4.69,2.75,1.65,4.43,7.16,,,9.42
117,Jonathan Walton,,OLB,South Carolina,,6002,236,105.5,-1.1,13.9,Walton,6002,236,,,,4.71,2.63,1.66,4.59,7.03,15,33.5,9.42
118,Otha Peters,,OLB,Louisiana-Lafayette,,6003,238,105.5,-1.1,13.9,Peters,6003,238,,,,4.78,2.75,1.67,4.26,7.09,23,31,9.17
119,Peter Ngobidi,,OLB,Massachusetts,,6010,222,105.2,-1.1,13.4,Ngobidi,6010,222,,,,4.68,2.66,1.6,4.59,7.36,19,33.5,9.75
120,Derek Brown,,OLB,Rice,,6036,226,105.1,-1.1,13.3,Brown,6036,226,,,,4.84,2.76,1.69,4.41,7.02,21,33,9.67
121,Teron Fitzgerald,,ILB,Texas State,,6004,229,106.7,-1.1,12.7,Fitzgerald,6004,229,,,,4.72,,1.65,4.59,7.26,17,33.5,10
122,Jimmie Gilbert,,LB,Colorado,22.8,6041,231,105.1,-1.2,11.9,Gilbert,6041,231,34.125,9.375,80.625,4.68,2.72,1.74,4.57,,12,37,10
123,Kenneth Olugbode,,LB,Colorado,22,6006,222,104.7,-1.2,11.4,Olugbode,6006,222,33,9.25,77.125,4.79,2.76,1.73,4.38,7.27,19,35,9.75
124,Phillip Henry,,OLB,South Carolina State,,6002,184,103.7,-1.2,11.2,Henry,6002,184,,,,4.87,2.77,1.62,4.57,7.21,13,38,10.5
125,Tre’von Johnson,,ILB,Weber State,22.6,6004,227,105.2,-1.3,10.3,Johnson,6004,227,32.5,8.875,77.625,4.55,2.62,1.58,4.6,7.4,19,30,9.83
